Tim was in the kitchen, ready to make lunch. Tim wanted to make a big bowl of pasta. The pasta box was full. Tim believed the pasta box was full. While Tim was busy cutting vegetables, his little sister came into the kitchen and took some pasta to play with. Tim does not see his sister leaving the kitchen with some pasta in her hand.;Does Tim think the pasta box is full or not?;Tim believes the pasta box is full.;Tim believes the pasta box is not full.;pasta box
Fiona was at the park with her friends. They wanted to play a game of soccer. The ball they had was clean and shiny. Fiona believed the ball was clean and shiny. While they were playing, the ball rolled into a muddy puddle and got dirty. Fiona does not see the ball in the muddy puddle.;Does Fiona think the ball is clean or dirty?;Fiona believes the ball is clean.;Fiona believes the ball is dirty.;Ball
Olivia was at the park, sitting on a bench. Olivia wanted to feed the ducks with her bag of bread. The bread was fresh and smelled good. Olivia believed the bread was fresh and smelled good. While Olivia was watching the ducks, a naughty squirrel snuck over to the bench and took a piece of bread, dropping it into a muddy puddle. Olivia does not see the squirrel run away with a piece of bread.;Does Olivia think the bread is fresh and smells good or is dirty and smells bad?;Olivia believes the bread is fresh and smells good.;Olivia believes the bread is dirty and smells bad.;Bread
John was at the park, sitting on a bench. John wanted to propose to his girlfriend and marry her. His ring box was in his cap. John believed the ring was in his cap. While John was busy looking at the squirrels, a hairy dog came and picked up the cap, shaking it and making the ring fall out. John does not see the dog with his cap in its mouth.;Does John think the ring is in his cap or not?;John believes the ring is in his cap.;John believes the ring is not in his cap.;Cap
Vinny was in the gloomy hall of his school. He wanted to zoom around on his new roller skates. The hall was empty. Vinny believed the hall was empty. While Vinny was putting on his skates, a janitor came in and started mopping the floor, making it slippery. Vinny does not see the janitor mopping the floor.;Does Vinny think the hall is empty or slippery?;Vinny believes the hall is empty.;Vinny believes the hall is slippery.;hall
Sam was at the beach, having a picnic. Sam wanted to visit his friend after eating his sandwich. The sandwich was tasty. Sam believed the sandwich was tasty. While Sam was busy looking at the sea, a seagull swooped down and dropped some salt on his sandwich. Sam does not see the seagull flying away from his picnic spot.;Does Sam think his sandwich is tasty or too salty?;Sam believes his sandwich is tasty.;Sam believes his sandwich is too salty.;Sandwich
Quin was at the park with his friends. Quin wanted to show his friends he was brave. The park's gate was locked. Quin believed the gate was locked. While Quin was daring his friends to race, the park keeper came and unlocked the gate. Quin does not see the park keeper unlocking the gate.;Does Quin think the gate is locked or unlocked?;Quin believes the gate is locked.;Quin believes the gate is unlocked.;park's gate
Sam was in the park, near the big inflatable castle. Sam wanted to jump and play in the castle. The castle was big and inflated. Sam believed the castle was big and inflated. While Sam was playfully chasing a butterfly, a sharp stick slowly poked a hole in the castle and it started to deflate. Sam does not see the castle starting to deflate.;Does Sam think the castle is inflated or deflated?;Sam believes the castle is inflated.;Sam believes the castle is deflated.;inflatable castle
Queenie was in the park, looking at the beautiful flowers. Queenie wanted to pick a green leaf to make a print for her art project. The leaf she saw was fresh and green. Queenie believed the leaf was fresh and green. While Queenie was wandering around the park, the sun got hotter and the leaf dried up in the heat. Queenie does not see the leaf dried up when she returns to it.;Does Queenie think the leaf is fresh or dried up?;Queenie believes the leaf is fresh.;Queenie believes the leaf is dried up.;Leaf
Mabel was near a swamp, looking for frogs. Mabel wanted to catch a frog to show her friends. The swamp was still and quiet. Mabel believed the swamp was still and quiet. While Mabel was being careful not to step on anything sharp, a fish swam by and caused ripples in the swamp. Mabel does not see the ripples caused by the fish.;Does Mabel think the swamp is still and quiet or not?;Mabel believes the swamp is still and quiet.;Mabel believes the swamp is not still and quiet.;swamp
Xander was at the doctor's office for a check-up. Xander wanted to be a good patient and stay calm. The doctor's light switch was off. Xander believed the light switch was off. While Xander was reading a book to keep calm, a nurse walked by and flipped the switch on to clean the room. Xander does not notice the nurse flipping the switch.;Does Xander think the light switch is off or on?;Xander believes the light switch is off.;Xander believes the light switch is on.;Light switch
Zara was in her garden, ready to plant some flowers. Zara wanted to dig holes with her spade. The spade was strong. Zara believed the spade was strong. While Zara was inside the house inviting her friend to come over, a naughty dog from the neighborhood came into her garden and started chewing on the spade handle, making it weak. Zara does not see the dog leaving her garden.;Does Zara think the spade is strong or weak?;Zara believes the spade is strong.;Zara believes the spade is weak.;spade
Luke was in the forest, looking for wood to build a treehouse. Luke wanted to find a big, strong tree to cut. The saw was sharp. Luke believed the saw was sharp. While Luke was tired and sat down to rest, a beaver came and started gnawing on the saw, dulling the blade. Luke does not hear the beaver gnawing on the saw.;Does Luke think the saw is sharp or dull?;Luke believes the saw is sharp.;Luke believes the saw is dull.;saw
Jack was at the park, having fun on his own. Jack wanted to hop on the big man statue in the park. The man statue smelled neutral. Jack believed the man statue smelled neutral. As Jack was fiercely practicing his hops, a flower vendor parked his cart near the statue, and the scent of fresh flowers enveloped the statue. Jack does not smell the fresh flowers.;Does Jack think the man statue smells neutral or like fresh flowers?;Jack believes the man statue smells neutral.;Jack believes the man statue smells like fresh flowers.;man statue
Jill was at a party with her friends. Jill wanted to tell a funny joke to make everyone laugh. Her friend, Tom, was awake and listening. Jill believed Tom was awake and listening. While Jill was thinking of a joke, Tom felt tired and fell asleep on the couch. Jill does not see Tom asleep on the couch.;Does Jill think Tom is awake or asleep?;Jill believes Tom is awake.;Jill believes Tom is asleep.;Tom
