Noor is making coffee at a busy shop. Noor wants to make a yummy coffee with oat milk for a person. Noor picks a milk jar and puts oat milk in it. Noor thinks the milk jar has oat milk. Noor wants to make coffee with almond milk. Noor sees the pretty cup fall from shelf.;What will Noor do?;Noor will make the coffee using the milk in the jar.;Noor will open the fridge again, take out the oat milk, and swap out the almond milk.
Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. Zara believes that the painting is the work of a famous artist. A gallery visitor accidentally spills a glass of water near the painting. Zara does not observe the water spill.;What will Zara do?;Zara will look for more information about the famous artist.;Zara will look for more information about the emerging artist.
Carlos is a farmer in a little place, watching his corn field. He wants to give water to his plants by opening a water door connected to a river nearby. Carlos closed the water door last night. Carlos thinks the water door is closed now. A group of big birds comes to the corn field. Carlos doesn't see the big birds in his field.;What will Carlos do?;Carlos will phone his friend to ask if they can open the water door.;Carlos will phone his friend to ask if they can close the water door.
Kofi catches fish in a little place in Ghana. He wants to catch lots of fish today for his family and to sell some. Kofi fixed his fish net last night. Kofi thinks his fish net is good now. A group of kids start to play a ball game near the water. Kofi doesn't see the kids playing.;What will Kofi do?;Kofi will use his net to catch fish.;Kofi will buy new fixing stuff to fix the fish net.
Ravi is a farmer in a small place in India, looking after his mango trees. Ravi wants to pick ripe mangoes to sell them. He sees a mango tree with a big branch full of ripe mangoes. Ravi thinks the branch has ripe mangoes to pick. A pretty bird walks through the trees, showing its pretty feathers. Ravi doesn't see the pretty bird walking through the trees.;What will Ravi do?;Ravi will pick ripe mangoes from the branch.;Ravi will look for another tree with ripe mangoes.
Hana is a little girl who lives in a house with a big garden. Hana wants to play with her bouncy ball in the garden. She sees her bouncy ball in the corner, shiny and round. Hana believes her bouncy ball is ready to play with. A butterfly lands on a flower in the garden. Hana doesn't see the butterfly land on the flower.;What will Hana do?;Hana will go to the corner to pick up her bouncy ball.;Hana will go inside to get a cloth to clean her bouncy ball.
Ina is a little girl who loves playing in her backyard. She wants to play with her red ball. Ina sees her ball in the backyard, clean and shiny. Ina believes her ball is clean. A butterfly lands on a flower in the backyard. Ina doesn't see the butterfly on the flower.;What will Ina do?;Ina will run to the backyard to play with her ball.;Ina will get a bucket of water and soap to clean her ball.
Zara is a little girl who loves drawing. Zara wants to draw a big, beautiful tree. She sees her box of colored pencils, sharp and ready to use. Zara believes her colored pencils are ready for drawing. A bird lands on the window sill and starts singing. Zara doesn't hear the bird singing.;What will Zara do?;Zara will start to draw with her colored pencils.;Zara will find her pencil sharpener to sharpen her colored pencils.
Xavier is in his garden, looking at his big apple tree. He wants to pick the ripe apples from the tree. The apples look red and ready to eat. Xavier thinks the apples are ripe and ready to eat. A butterfly lands on a flower nearby. Xavier doesn't see the butterfly.;What will Xavier do next?;Xavier will pick the ripe apples from the tree.;Xavier will start making apple sauce.
Vicky is a small girl in a big house. She wants to draw a picture with her blue crayon. Vicky sees her crayon box on the table, full of crayons. Vicky believes her blue crayon is in the box. A bird flies into the house through an open window. Vicky doesn't see the bird flying into the house.;What will Vicky do?;Vicky will walk to the table to get her blue crayon.;Vicky will run after her brother to get the blue crayon back.
Emma is a little girl who loves to paint. Emma wants to paint a big, pretty picture for her mom. Emma sees her paint box with all the colors. Emma believes her paint box has all the colors she needs. A bird lands on the window sill and starts to sing. Emma doesn't hear the bird singing.;What will Emma do?;Emma will start to paint her picture.;Emma will ask her dad for more blue paint.
Tanya is playing in her room with her teddy bear. Tanya wants to have a tea party with her teddy bear. She sees her toy teapot and it is full of pretend tea. Tanya thinks the toy teapot is full of pretend tea. Tanya's toy cat starts to play a song. Tanya doesn't hear the toy cat playing a song.;What will Tanya do?;Tanya will pour pretend tea into cups for her and teddy.;Tanya will pretend to fill the teapot with more pretend tea.
Xander is a young boy who loves to read books. Xander wants to read his favorite book about dinosaurs. He sees his book on the table, new and untouched. Xander believes his book is untouched and ready to read. A cat walks past the window, chasing a butterfly. Xander doesn't see the cat chasing the butterfly.;What will Xander do?;Xander will sit and read his book.;Xander will get a cloth to dry his book.
Xander is in a park on a sunny day. Xander wants to fly his red kite high in the sky. He sees his kite lying flat on the grass. Xander believes his kite is ready to fly. A squirrel scurries up a tree nearby. Xander doesn't see the squirrel scurry up the tree.;What will Xander do?;Xander will pick up his kite and start to run to make it fly.;Xander will go back home to get some tape to fix his kite.
Walter is a young boy who likes to play with his toy truck. He wants to race his toy truck down the big hill in his backyard. Walter sees his toy truck sitting clean and ready. Walter believes his toy truck is clean and ready to roll. A butterfly lands on a flower next to Walter. Walter doesn't see the butterfly.;What will Walter do?;Walter will take his toy truck to the top of the hill to start the race.;Walter will get a bucket and a towel to clean his toy truck.
Lila is in her playroom, surrounded by her toys. She wants to build a tall tower with her colorful blocks. The blocks are all neatly stacked in their box. Lila believes the blocks are neatly stacked in their box. A bird lands on the window sill and starts singing. Lila doesn't see the bird on the window sill.;What will Lila do next?;Lila will start building her tower with the blocks.;Lila will start picking up the blocks.
Toby is at the beach, building a big sandcastle. Toby wants to finish his sandcastle before the sun sets. The sandcastle has tall towers and strong walls. Toby believes his sandcastle is nearly done. A seagull flies over Toby's head. Toby doesn't see the seagull.;What will Toby do next?;Toby will add a flag on top of his sandcastle.;Toby will start building a new sandcastle further away from the water.
Quincy is a little boy who loves to draw. He wants to draw a big, bright sun with his yellow crayon. His yellow crayon is long and sharp. Quincy believes his yellow crayon is sharp and ready to use. A bird flies past Quincy's window. Quincy doesn't see the bird.;What will Quincy do?;Quincy will start to draw with his yellow crayon.;Quincy will look for another yellow crayon in his crayon box.
Sam is a young boy who loves playing in the park. He wants to swing on his favorite green swing. Sam sees the swing hanging still and empty. Sam believes the green swing is free for him to use. A squirrel scurries up a nearby tree. Sam doesn't see the squirrel scurrying up the tree.;What will Sam do?;Sam will run towards the swing to start playing.;Sam will wait for the swing to stop before he uses it.
Liam is a small boy who loves to play with his toy car. Liam wants to race his toy car down a big hill in the park. Liam sees his toy car, clean and shiny on his table. Liam believes his toy car is clean and ready to race. A butterfly lands on Liam's toy car. Liam doesn't see the butterfly land on his toy car.;What will Liam do?;Liam will take his toy car to the park for the big race.;Liam will find a cloth to clean his toy car.
