Noor is making coffee at a busy shop. Noor wants to make a yummy coffee with oat milk for a person. Noor picks a milk jar and puts oat milk in it. Noor thinks the milk jar has oat milk. A work friend, who didn't hear what the person wanted, changes the oat milk in the jar with almond milk while Noor is doing something else. Noor doesn't see her friend change the milk.;What will Noor do?;Noor will make the coffee using the milk in the jar.;Noor will open the fridge again, take out the oat milk, and swap out the almond milk.
Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. Zara believes that the painting is the work of a famous artist. A gallery staff member, realizing there was a mix-up, changes the label with the correct information attributing the painting to an emerging artist instead. Zara does not read the updated label.;What will Zara do?;Zara will look for more information about the famous artist.;Zara will look for more information about the emerging artist.
Carlos is a farmer in a little place, watching his corn field. He wants to give water to his plants by opening a water door connected to a river nearby. Carlos closed the water door last night. Carlos thinks the water door is closed now. At night, a big rain makes the river too full, opens the water door and puts too much water in the corn field. Carlos doesn't see the field full of water.;What will Carlos do?;Carlos will phone his friend to ask if they can open the water door.;Carlos will phone his friend to ask if they can close the water door.
Nia is in her room with her big toy cabinet. Nia wants to take out her doll to play with it. The cabinet door is shut tight. Nia thinks the cabinet door is shut. Suddenly, her little brother comes in and opens the cabinet door while Nia is not looking. Nia doesn't see that the cabinet door is open.;What will Nia do?;Nia will walk over to open the cabinet door.;Nia will walk over to close the cabinet door.
Ugo is in his house with his small pet dog, Spot. Ugo wants to give Spot a new toy to play with. The toy is on the high shelf in the kitchen. Ugo believes the toy is on the high shelf. While Ugo is out of the room, his tall friend, Bob, visits and places the toy on the floor for Spot to play with. Ugo doesn't see the toy on the floor.;What will Ugo do?;Ugo will ask Bob to help get the toy from the high shelf.;Ugo will thank Bob for taking the toy down.
Harry is at the beach with his red ball. Harry wants to play catch with the ball in the ocean. The ball is dry and ready for play. Harry thinks the ball is dry. While Harry is not looking, a big wave comes and makes the ball all wet. Harry doesn't see that the ball is wet.;What will Harry do?;Harry will take the ball to play catch in the ocean.;Harry will go to dry the ball in the sun.
Umi is in her garden with her big, green plant. Umi wants to water the plant because it is a hot day. The plant is dry and needs water. Umi believes the plant is dry. Suddenly, a quick rain shower comes and wets the plant while Umi is inside getting water. Umi doesn't see the wet plant after the rain.;What will Umi do?;Umi will water the plant.;Umi will put the watering can away.
Gracie is in her room with a big box of toys. Gracie wants to play with her favorite doll. The doll is in the box with all the other toys. Gracie believes her doll is in the toy box. Gracie's older brother, Jack, takes the doll out of the box to fix its dress while Gracie is not in the room. Gracie doesn't see that her doll is not in the box.;What will Gracie do?;Gracie will reach into the box to get her doll.;Gracie will ask Jack where her doll is.
Oliver is in the park with his friendly cat, Mittens. Oliver wants to warn Mittens not to climb the tall tree. The tree is very tall and scary. Oliver believes the tree is very tall and scary. While Oliver is looking away, a strong wind blows and knocks down a few branches, making the tree less tall and less scary. Oliver doesn't see the tree is now less tall.;What will Oliver do?;Oliver will warn Mittens not to climb the tree.;Oliver will let Mittens play near the tree.
Annie is at the park with her kite. Annie wants to fly her kite in the sky. The kite is on the ground and ready to fly. Annie believes the kite is on the ground. Suddenly, a strong wind comes and lifts the kite high into the sky while Annie is tying her shoe. Annie doesn't see that the kite is in the sky.;What will Annie do?;Annie will pick up the kite to start flying it.;Annie will run to catch the kite.
