Jack is in the kitchen in his house. Jack wants a cold drink from the refrigerator. The refrigerator is full of fresh food. A bird flies into the kitchen through the open window. Jack sees the bird fly into the kitchen.;Does Jack think the food in the refrigerator is fresh or spoiled?;Jack thinks the food in the refrigerator is fresh.;Jack thinks the food in the refrigerator is spoiled.;refrigerator
Caden is in his new house. Caden wants to fix all the things that are not right. There is a big leak in the roof. A bird lands on the roof. Caden sees the bird land on the roof.;Does Caden think there is a leak in the roof or has the sun dried it up?;Caden thinks there is still a leak in the roof.;Caden thinks the sun has dried up the leak.;leak
Vivi is in her room playing with her toys. Vivi wants to lay her small, patient triangle toy on the shelf with her other toys. The triangle toy is in her toy box. A bird flies into the room through the open window. Vivi sees the bird fly into the room.;Does Vivi believe the triangle toy is in her toy box or that her baby brother has taken it?;Vivi believes the triangle toy is in her toy box.;Vivi believes her baby brother has taken the triangle toy.;triangle toy
Emma is in her room after a long day at school. Emma wants to draw on her white bathrobe to make it look creative. The bathrobe is plain and white. A cat walks into Emma's room. Emma sees the cat walk into her room.;Does Emma think the bathrobe is plain white or patchy white and yellow?;Emma thinks the bathrobe is plain white.;Emma thinks the bathrobe is patchy white and yellow.;bathrobe
Ollie is at the beach building a sand castle. Ollie wants to dig a deep hole with his spade. The spade is sharp and safe to use. A seagull lands near Ollie's sand castle. Ollie sees the seagull land near his sand castle.;Does Ollie think the spade is safe or dangerous?;Ollie thinks the spade is safe.;Ollie thinks the spade is dangerous.;spade
Ben is at the train station. Ben wants to catch the train to go to work. The train is on time. A crazy dog runs across the train tracks. Ben sees the crazy dog run across the tracks.;Does Ben think the train is on time or late?;Ben believes the train is on time.;Ben believes the train is late.;train
Pia is at her school library. Pia wants to read a mystery book. The mystery book is on the top shelf. A cat sneaks into the library. Pia sees the cat sneak into the library.;Does Pia think the mystery book is on the top shelf or the bottom shelf?;Pia thinks the mystery book is on the top shelf.;Pia thinks the mystery book is on the bottom shelf.;mystery book
Chloe is at a fair in her town. Chloe wants to hug the fireman at the fair. The fireman is very friendly. A clown starts making balloon animals at the fair. Chloe sees the clown making balloon animals.;Does Chloe think the fireman is friendly or scared?;Chloe thinks the fireman is friendly.;Chloe thinks the fireman is scared.;Fireman
Wendy is at a yard sale in her town. Wendy wants to buy a beautiful bracelet she saw. The bracelet is shiny and cheap. A dog runs through the yard sale, knocking over a table. Wendy sees the dog run through the yard sale.;Does Wendy think the bracelet is cheap or expensive?;Wendy thinks the bracelet is cheap.;Wendy thinks the bracelet is expensive.;bracelet
Yara is in her room with her favorite teddy bear, Stitch. Yara wants to hide Stitch so her little brother cannot find him. Stitch smells like yummy vanilla because Yara sprayed him with her vanilla perfume. A cat enters the room through the open door. Yara sees the cat enter the room.;Does Yara believe Stitch smells like yummy vanilla or sour vinegar?;Yara believes Stitch smells like yummy vanilla.;Yara believes Stitch smells like sour vinegar.;Stitch (teddy bear)
Nia is in her home, ready to bake a cake. Nia wants to bake a cake in the oven. The oven is in good working order. A cat walks into the kitchen. Nia sees the cat walk into the kitchen.;Does Nia think the oven is in good working order or broken?;Nia believes the oven is in good working order.;Nia believes the oven is broken.;Oven
Amy is walking in the park. Amy wants to sit on a bench and rest. The bench is covered with pretty vines. A squirrel runs across the path in front of Amy. Amy sees the squirrel running across the path.;Does Amy believe the bench is safe or not safe?;Amy believes the bench is safe.;Amy believes the bench is not safe.;Bench
Kate is in the park with her old toy car. Kate wants to drive the toy car on the clean cloth she brought. The cloth is clean and spread on the grass. A butterfly lands on Kate's toy car. Kate sees the butterfly land on her toy car.;Does Kate think the cloth is clean or dirty?;Kate believes the cloth is clean.;Kate believes the cloth is dirty.;cloth
Ella is at the park with her parent. Ella wants to complete her ice cream before it melts. The ice cream has a sweet taste. A light rain begins to fall. Ella feels the light rain.;Does Ella think her ice cream is sweet or gritty?;Ella thinks her ice cream is sweet.;Ella thinks her ice cream is gritty.;Ice cream
Uma is in her room with a big clock on the wall. Uma wants to move the clock to another room. The clock is brown. A cat enters the room and starts playing with a ball of yarn. Uma sees the cat playing.;Does Uma think the clock is brown or rainbow?;Uma believes the clock is brown.;Uma believes the clock is rainbow.;Clock
Fred was at the park with his friends. Fred wanted to play a beautiful song on his trumpet for his friends. The trumpet was in his bag. A dog started chasing its tail near Fred. Fred saw the dog chasing its tail.;Does Fred think his trumpet is in his bag or hidden from view?;Fred believed his trumpet was in his bag.;Fred believed his trumpet was hidden from view.;trumpet
Amy was in her room playing with her toy angel. Amy wanted to make the angel fly in the air. The angel's wings were open wide. A butterfly enters the room. Amy sees the butterfly.;Does Amy believe the angel's wings are open or closed?;Amy believes the angel's wings are open.;Amy believes the angel's wings are closed.;Angel
Sally is inside her house, thinking about the garden outside. Sally wants to plant flowers in the earth. The earth is dry and warm. A butterfly lands on a nearby flower. Sally sees the butterfly.;Does Sally think the earth is dry and warm or cool and wet?;Sally believes the earth is dry and warm.;Sally believes the earth is cool and wet.;Earth
Dora is at the farm with her dad. Dora wants to ride the big, hairy horse. The horse is standing in the field. A butterfly lands on Dora's hand. Dora sees the butterfly land on her hand.;Does Dora think the horse is standing or lying down in the field?;Dora thinks the horse is standing in the field.;Dora thinks the horse is scared and lying down in the field.;horse
Ben was at the park playing with his dog. Ben wanted to make his dog's hair look nice by brushing it. The dog's hair was very safe to touch. A squirrel runs past Ben and his dog. Ben sees the squirrel run past.;Does Ben believe the dog's hair is safe or dangerous to touch?;Ben believes the dog's hair is safe to touch.;Ben believes the dog's hair is dangerous to touch.;Dog's hair
Lila was in an ancient city. Lila wanted to walk on the ancient road. The road was full of old stones. A cat crossed her path. Lila saw the cat crossing her path.;Does Lila think the road is full of old stones or destroyed?;Lila believes the road is full of old stones.;Lila believes the road is destroyed.;road
Quinn was at the park on a sunny day. Quinn wanted to unite his friends for a fun event. Their picnic basket was full of food. A butterfly lands on Quinn's shoulder. Quinn sees the butterfly land on his shoulder.;Does Quinn believe the picnic basket is full or empty?;Quinn believes the picnic basket is full.;Quinn believes the picnic basket is empty.;picnic basket
Harry was at the park with his little red wagon. Harry wanted to ride his wagon down the big hill. The wagon was safe and sturdy. A butterfly lands on the handle of the wagon. Harry sees the butterfly.;Does Harry think his wagon is safe or dangerous?;Harry thinks his wagon is safe.;Harry thinks his wagon is dangerous.;Wagon
Omar was on a beach during the day. Omar wanted to find a special shell hidden under the palm trees. The shells were hidden under the sand. A scared crab quickly runs across the beach. Omar sees the scared crab running across the beach.;Does Omar think the shells are hidden under the sand or visible on top of the sand?;Omar believes the shells are still hidden under the sand.;Omar believes the shells are now visible on top of the sand.;shells under the sand.
Quentin was at the farm with all the animals. Quentin wanted to feed the goat. The goat was in the organized pen. A loud truck passes by the farm. Quentin hears the loud truck passing by.;Does Quentin think the goat is in the organized pen or in the hot, sunny area?;Quentin believes the goat is in the organized pen.;Quentin believes the goat is in the hot, sunny area.;Goat
Nia was in the attic of her old house. Nia wanted to find her old toy car in the attic. The toy car was charged. A bird lands on the attic window sill. Nia sees the bird land on the window sill.;Does Nia think the toy car is charged or discharged?;Nia thinks the toy car is charged.;Nia thinks the toy car is discharged.;Toy car
Yolanda was at a toy store. Yolanda wanted to buy a model car for her little brother. The model car was on the top shelf. A clown starts performing tricks in the store. Yolanda notices the clown performing tricks.;Does Yolanda believe the model car is on the top shelf or on a lower shelf?;Yolanda believes the model car is on the top shelf.;Yolanda believes the model car is on a lower shelf.;model car
Kim was in the park with her friends. Kim wanted to eat her pasta lunch. The pasta was in a plastic box. It starts to rain. Kim feels the rain.;Does Kim think the pasta is in a broken or intact box?;Kim thinks the box is intact and the pasta is in the box.;Kim thinks the box is broken and the pasta is on the ground.;plastic box
Ben was in his room playing with his toy robot. Ben wanted his robot to move and speak. The toy robot's battery was fully charged. A cold breeze blew through the open window. Ben felt the cold breeze.;Does Ben think the toy robot's battery is charged or discharged?;Ben thinks the toy robot's battery is charged.;Ben thinks the toy robot's battery is discharged.;Toy robot's battery
