Noor is making coffee at a busy shop. Noor wants to make a yummy coffee with oat milk for a person. Noor picks a milk jar and puts oat milk in it. A work friend, who didn't hear what the person wanted, changes the oat milk in the jar with almond milk while Noor is doing something else. Noor opens the fridge again and grabs the oat milk.;Does Noor think the milk jar has oat milk or almond milk?;Noor thinks the milk jar has almond milk.;Noor thinks the milk jar has oat milk.
Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. A gallery staff member, realizing there was a mix-up, changes the label with the correct information attributing the painting to an emerging artist instead. Zara looks for more information about the emerging artist.;Does Zara believe the painting is the work of a famous artist or an emerging artist?;Zara believes the painting is the work of an emerging artist.;Zara believes the painting is the work of a famous artist.
Carlos is a farmer in a little place, watching his corn field. He wants to give water to his plants by opening a water door connected to a river nearby. Carlos closed the water door last night. At night, a big rain makes the river too full, opens the water door and puts too much water in the corn field. Carlos phones his friend to ask if they can close the water door.;Does Carlos think the water door is closed or open?;Carlos thinks the water door is already open.;Carlos thinks the water door is still closed.
Kofi catches fish in a little place in Ghana. He wants to catch lots of fish today for his family and to sell some. Kofi fixed his fish net last night. When Kofi is not near his boat, some monkeys come and play with the fish net, breaking it. Kofi buys new fixing stuff to fix the fish net.;Does Kofi think his net is good or broken?;Kofi thinks his fish net is broken.;Kofi thinks his fish net is good.
Ravi is a farmer in a small place in India, looking after his mango trees. Ravi wants to pick ripe mangoes to sell them. He sees a mango tree with a big branch full of ripe mangoes. A naughty monkey comes and eats all the ripe mangoes from the branch while Ravi is getting his picking tools. Ravi looks for another tree with ripe mangoes.;Does Ravi think the branch has ripe mangoes or no ripe mangoes?;Ravi thinks the branch has no ripe mangoes.;Ravi thinks the branch has ripe mangoes.
Hana is a little girl who lives in a house with a big garden. Hana wants to play with her bouncy ball in the garden. She sees her bouncy ball in the corner, shiny and round. A gust of wind comes and blows the bouncy ball into a muddy puddle, making it dirty. Hana goes inside to get a cloth to clean her bouncy ball.;Does Hana believe her bouncy ball is clean or dirty?;Hana believes her bouncy ball is dirty.;Hana believes her bouncy ball is clean.
Ina is a little girl who loves playing in her backyard. She wants to play with her red ball. Ina sees her ball in the backyard, clean and shiny. Suddenly, a big dog from the neighborhood runs into the backyard and gets the ball all dirty with mud. Ina goes to get a bucket of water and soap to clean her ball.;Does Ina think her ball is clean or dirty?;Ina believes her ball is dirty.;Ina believes her ball is clean.
Zara is a little girl who loves drawing. Zara wants to draw a big, beautiful tree. She sees her box of colored pencils, sharp and ready to use. Suddenly, her little brother comes and takes the box to the other room, leaving the pencils scattered and dull. Zara goes to find her pencil sharpener to sharpen her colored pencils.;Does Zara believe her colored pencils are sharp or dull?;Zara believes her colored pencils are dull.;Zara believes her colored pencils are sharp.
Xavier is in his garden, looking at his big apple tree. He wants to pick the ripe apples from the tree. The apples look red and ready to eat. Suddenly, a strong wind blows and shakes the tree, causing the apples to fall and get bruised. Xavier thinks about making apple sauce with the bruised apples.;Does Xavier believe the apples are ripe and ready to eat or bruised?;Xavier believes the apples are bruised.;Xavier believes the apples are ripe and ready to eat.
Vicky is a small girl in a big house. She wants to draw a picture with her blue crayon. Vicky sees her crayon box on the table, full of crayons. Suddenly, her little brother takes the blue crayon and runs away with it. Vicky runs after her brother to get the blue crayon back.;Does Vicky think her blue crayon is in the box or with her brother?;Vicky believes her blue crayon is with her brother.;Vicky believes her blue crayon is still in the box.
