Jack is in the kitchen in his house. Jack wants a cold drink from the refrigerator. The refrigerator is full of fresh food. A bird flies into the kitchen through the open window. Jack opens the refrigerator to get a cold drink.;refrigerator
Caden is in his new house. Caden wants to fix all the things that are not right. There is a big leak in the roof. A bird lands on the roof. Caden plans to call a man to fix the leak.;leak
Vivi is in her room playing with her toys. Vivi wants to lay her small, patient triangle toy on the shelf with her other toys. The triangle toy is in her toy box. A bird flies into the room through the open window. Vivi lays the triangle toy on the shelf.;triangle toy
Emma is in her room after a long day at school. Emma wants to draw on her white bathrobe to make it look creative. The bathrobe is plain and white. A cat walks into Emma's room. Emma plans to start drawing on her bathrobe.;bathrobe
Ollie is at the beach building a sand castle. Ollie wants to dig a deep hole with his spade. The spade is sharp and safe to use. A seagull lands near Ollie's sand castle. Ollie continues to dig the hole with the spade.;spade
Ben is at the train station. Ben wants to catch the train to go to work. The train is on time. A crazy dog runs across the train tracks. Ben plans to get on the train and start working on his case.;train
Pia is at her school library. Pia wants to read a mystery book. The mystery book is on the top shelf. A cat sneaks into the library. Pia plans to ask for help to reach the top shelf.;mystery book
Chloe is at a fair in her town. Chloe wants to hug the fireman at the fair. The fireman is very friendly. A clown starts making balloon animals at the fair. Chloe walks up to the fireman to give him a hug.;Fireman
Wendy is at a yard sale in her town. Wendy wants to buy a beautiful bracelet she saw. The bracelet is shiny and cheap. A dog runs through the yard sale, knocking over a table. Wendy plans to buy the bracelet.;bracelet
Yara is in her room with her favorite teddy bear, Stitch. Yara wants to hide Stitch so her little brother cannot find him. Stitch smells like yummy vanilla because Yara sprayed him with her vanilla perfume. A cat enters the room through the open door. Yara hides Stitch under her bed.;Stitch (teddy bear)
Nia is in her home, ready to bake a cake. Nia wants to bake a cake in the oven. The oven is in good working order. A cat walks into the kitchen. Nia begins to mix the ingredients for the cake.;Oven
Amy is walking in the park. Amy wants to sit on a bench and rest. The bench is covered with pretty vines. A squirrel runs across the path in front of Amy. Amy moves towards the bench to sit down.;Bench
Kate is in the park with her old toy car. Kate wants to drive the toy car on the clean cloth she brought. The cloth is clean and spread on the grass. A butterfly lands on Kate's toy car. Kate starts to drive the toy car on the cloth.;cloth
Ella is at the park with her parent. Ella wants to complete her ice cream before it melts. The ice cream has a sweet taste. A light rain begins to fall. Ella continues to eat her sweet ice cream.;Ice cream
Uma is in her room with a big clock on the wall. Uma wants to move the clock to another room. The clock is brown. A cat enters the room and starts playing with a ball of yarn. Uma plans to lift the clock and move it to another room.;Clock
Fred was at the park with his friends. Fred wanted to play a beautiful song on his trumpet for his friends. The trumpet was in his bag. A dog started chasing its tail near Fred. Fred was going to take out his trumpet and play a song.;trumpet
Amy was in her room playing with her toy angel. Amy wanted to make the angel fly in the air. The angel's wings were open wide. A butterfly enters the room. Amy throws the angel in the air to make it fly.;Angel
Sally is in the garden in her house. Sally wants to plant flowers in the earth. The earth is dry and warm. A butterfly lands on a nearby flower. Sally starts to plant the flowers in the earth.;Earth
Lily Mae was at the market on a sunny Sunday. Lily Mae wanted to sell her strong perfume. The perfume had a sweet scent. A dog starts barking loudly at the market. Lily Mae tries to sell her sweet-scented perfume to the people at the market.;Perfume
Dora is at the farm with her dad. Dora wants to ride the big, hairy horse. The horse is standing in the field. A butterfly lands on Dora's hand. Dora walks towards the horse to ride it.;horse
Ben was at the park playing with his dog. Ben wanted to make his dog's hair look nice by brushing it. The dog's hair was very safe to touch. A squirrel runs past Ben and his dog. Ben continues to brush his dog's hair.;Dog's hair
Lila was in an ancient city. Lila wanted to walk on the ancient road. The road was full of old stones. A cat crossed her path. Lila planned to walk on the ancient road.;road
Quinn was at the park on a sunny day. Quinn wanted to unite his friends for a fun event. The picnic basket was full of food. A butterfly lands on Quinn's shoulder. Quinn plans to start the event with the food in the picnic basket.;picnic basket
Harry was at the park with his little red wagon. Harry wanted to ride his wagon down the big hill. The wagon was safe and sturdy. A butterfly lands on the handle of the wagon. Harry planned to ride his wagon down the hill.;Wagon
Ollie was on a beach during the day. Ollie wanted to find a special shell hidden under the palm trees. The shells were hidden under the sand. A scared crab quickly runs across the beach. Ollie plans to dig under the palm trees to find the shells.;shells under the sand.
Quinn was at the farm with all the animals. Quinn wanted to feed the goat. The goat was in the organized pen. A loud truck passes by the farm. Quinn reaches for the goat food to feed the goat.;Goat
Nia was in the attic of her old house. Nia wanted to find her old toy car in the attic. The toy car was thin and charged. A bird lands on the attic window sill. Nia plans to play with the toy car.;Toy car
Yara was at a toy store. Yara wanted to buy a model car for her little brother. The model car was on the top shelf. A clown starts performing tricks in the store. Yara considers asking for help to get the model car from the top shelf.;model car
Kim was in the park with her friends. Kim wanted to eat her pasta lunch. The pasta was in a plastic box. It starts to rain. Kim opens the box to eat the pasta.;plastic box
Ben was in his room playing with his toy robot. Ben wanted his robot to move and speak. The toy robot's battery was fully charged. A cold breeze blew through the open window. Ben pressed the button to make the robot speak.;Toy robot's battery
Carla was in a small, old church. Carla wanted to pray at the modest cross. The cross was in the open. A bell rings from the church tower. Carla walks to the cross to pray.;Cross
Sam was at a big art show. Sam wanted to buy a creative painting. The painting had a low price. A child starts to cry loudly in the art show. Sam plans to buy the painting right away.;painting
Rita was at the park for a walk. Rita wanted to sit on a clean bench. The bench was clean and dry. A dog runs past her, chasing a ball. Rita decided to sit on the bench.;bench
Polly was at the bus stop. Polly wanted to start her journey to school. The bus was on time. An icy wind blew through the bus stop. Polly planned to get on the bus to start her journey.;bus
Zoe was in her room with a big box of toys. Zoe wanted to sort her toys and put them in the box. The box was open. A cat jumps onto the bed. Zoe continues to sort her toys and put them in the box.;box
Pete was at home, ready to sew a button on his shirt. Pete wanted to use a clean thread to sew the button. The thread was clean and ready to use. A cat walks into the room. Pete starts to sew the button with the thread.;thread
Rosa was in her room with her furry cat. Rosa wanted to play music and have her cat sit with her. The music player was fully charged. A butterfly flies into the room through the open window. Rosa plays a rhythm on the music player for her cat to enjoy.;Music player
Nia was in the garden picking vegetables. Nia wanted to pick some crunchy celery for her salad. The celery was clean and fresh. A butterfly lands on a nearby flower. Nia plans to pick the celery.;Celery
Vicky was in her room, feeling lonely. Vicky wanted to call her friend to chat. The phone had a lot of numbers. A bird flies into the room through the open window. Vicky thinks to dial her friend's number.;Phone
Xander was in his garden, tending to his plants. Xander wanted to supply water to his plants. The earth in the garden was dry and thirsty. A butterfly lands on a flower in the garden. Xander plans to water the dry earth.;Earth
Ivy was at a pet shop. Ivy wanted to buy a small cat with soft fur. She had enough money to buy the cat. A dog in the pet shop starts barking loudly. Ivy was going to pay for the cat.;Cat
Mae was in her garden. Mae wanted to feed the birds with a worm. The worm was big and juicy. A rainbow appears in the sky. Mae goes to give the worm to the birds.;worm
Ruby was at the park with her friends. Ruby wanted to skip with her jump rope. The rope was coiled up neatly. A group of birds start to sing loudly in a nearby tree. Ruby plans to start skipping with the rope.;Rope
Nellie was in the park with her friends. Nellie wanted to share her pizza with her friends. The pizza box was closed. A squirrel ran up a tree nearby. Nellie planned to open the pizza box and share the pizza with her friends.;pizza box
Harry was in school, waiting for the quiz to start. Harry wanted to do well on the quiz. The quiz looked easy. A bird flies into the classroom through the open window. Harry started to answer the quiz with a glad heart.;Quiz
Iris was at a big game in the park. Iris wanted to find a lucky seat to watch the game. The seat was hard and uncomfortable. A squirrel runs across the field. Iris sat down to watch the game.;seat
Ella was at the park near the hospital. Ella wanted to eat her apple under the high tree. The apple was very fresh. An ambulance arrives at the nearby hospital. Ella plans to eat the fresh apple under the high tree.;Apple
Yara was in the park with her friends. Yara wanted to create a strong mud castle. The mud was wet and easy to shape. A butterfly lands on Yara's shoulder. Yara starts to shape the mud into a castle.;Mud
