Jack is in the kitchen in his house. Jack wants a cold drink from the refrigerator. The refrigerator is full of fresh food. Suddenly, a power cut changes the state of the food in the refrigerator to spoiled. Jack doesn't notice the power cut.;Does Jack think the food in the refrigerator is fresh or spoiled?;Jack thinks the food in the refrigerator is fresh.;Jack thinks the food in the refrigerator is spoiled.;refrigerator
Caden is in his new house. Caden wants to fix all the things that are not right. There is a big leak in the roof. Suddenly, the sun comes out and dries up the leak. Caden doesn't see the sun dry up the leak.;Does Caden think there is a leak in the roof or has the sun dried it up?;Caden thinks there is still a leak in the roof.;Caden thinks the sun has dried up the leak.;leak
Vivi is in her room playing with her toys. Vivi wants to lay her small, patient triangle toy on the shelf with her other toys. The triangle toy is in her toy box. Suddenly, her baby brother crawls into the room and takes the triangle toy. Vivi doesn't see her baby brother take the triangle toy.;Does Vivi believe the triangle toy is in her toy box or that her baby brother has taken it?;Vivi believes the triangle toy is in her toy box.;Vivi believes her baby brother has taken the triangle toy.;triangle toy
Emma is in her room after a long day at school. Emma wants to draw on her white bathrobe to make it look creative. The bathrobe is plain and white. Suddenly, a spill from a bottle of bleach changes the bathrobe from white to a patchy white and yellow. Emma doesn't see the bleach spill.;Does Emma think the bathrobe is plain white or patchy white and yellow?;Emma thinks the bathrobe is plain white.;Emma thinks the bathrobe is patchy white and yellow.;bathrobe
Ollie is at the beach building a sand castle. Ollie wants to dig a deep hole with his spade. The spade is sharp and safe to use. All of a sudden, a wave from the sea splashes on the spade making it slippery and dangerous. Ollie doesn't see the wave splash on the spade.;Does Ollie think the spade is safe or dangerous?;Ollie thinks the spade is safe.;Ollie thinks the spade is dangerous.;spade
Ben is at the train station. Ben wants to catch the train to go to work. The train is on time. Suddenly, a signal fault delays the train and makes it late. Ben does not see the signal fault.;Does Ben think the train is on time or late?;Ben believes the train is on time.;Ben believes the train is late.;train
Pia is at her school library. Pia wants to read a mystery book. The mystery book is on the top shelf. Suddenly, a tall boy moves the mystery book to the bottom shelf. Pia doesn't see the tall boy move the book.;Does Pia think the mystery book is on the top shelf or the bottom shelf?;Pia thinks the mystery book is on the top shelf.;Pia thinks the mystery book is on the bottom shelf.;mystery book
Chloe is at a fair in her town. Chloe wants to hug the fireman at the fair. The fireman is very friendly. Suddenly, a loud noise scares the fireman and he becomes very scared. Chloe doesn't hear the loud noise.;Does Chloe think the fireman is friendly or scared?;Chloe thinks the fireman is friendly.;Chloe thinks the fireman is scared.;Fireman
Wendy is at a yard sale in her town. Wendy wants to buy a beautiful bracelet she saw. The bracelet is shiny and cheap. Suddenly, a famous collector recognizes the bracelet and its value increases to an expensive price. Wendy does not hear the famous collector talking about the bracelet.;Does Wendy think the bracelet is cheap or expensive?;Wendy thinks the bracelet is cheap.;Wendy thinks the bracelet is expensive.;bracelet
Yara is in her room with her favorite teddy bear, Stitch. Yara wants to hide Stitch so her little brother cannot find him. Stitch smells like yummy vanilla because Yara sprayed him with her vanilla perfume. Suddenly, a spilt bottle of vinegar changes the scent of Stitch to sour. Yara does not perceive the vinegar spill.;Does Yara believe Stitch smells like yummy vanilla or sour vinegar?;Yara believes Stitch smells like yummy vanilla.;Yara believes Stitch smells like sour vinegar.;Stitch (teddy bear)
Nia is in her home, ready to bake a cake. Nia wants to bake a cake in the oven. The oven is in good working order. Suddenly, a small earthquake shakes the house and the oven breaks. Nia does not realize the oven is broken.;Does Nia think the oven is in good working order or broken?;Nia believes the oven is in good working order.;Nia believes the oven is broken.;Oven
Amy is walking in the park. Amy wants to sit on a bench and rest. The bench is covered with pretty vines. Suddenly, a gardener sprays the vines with a substance that changes them from non-harmful to harmful. Amy does not see the gardener spraying the vines.;Does Amy believe the bench is safe or not safe?;Amy believes the bench is safe.;Amy believes the bench is not safe.;Bench
Kate is in the park with her old toy car. Kate wants to drive the toy car on the clean cloth she brought. The cloth is clean and spread on the grass. Suddenly, a dog runs across the park and makes the cloth dirty with its muddy paws. Kate does not see the dog run across the cloth.;Does Kate think the cloth is clean or dirty?;Kate believes the cloth is clean.;Kate believes the cloth is dirty.;cloth
Ella is at the park with her parent. Ella wants to complete her ice cream before it melts. The ice cream has a sweet taste. Suddenly, a gust of wind blows some sand onto the ice cream, changing its taste to gritty. Ella doesn't notice the sand in her ice cream.;Does Ella think her ice cream is sweet or gritty?;Ella thinks her ice cream is sweet.;Ella thinks her ice cream is gritty.;Ice cream
Uma is in her room with a big clock on the wall. Uma wants to move the clock to another room. The clock is brown. Suddenly, a splash of paint from a passing parade changes the color of the clock to rainbow. Uma doesn't see the splash of paint.;Does Uma think the clock is brown or rainbow?;Uma believes the clock is brown.;Uma believes the clock is rainbow.;Clock
Fred was at the park with his friends. Fred wanted to play a beautiful song on his trumpet for his friends. The trumpet was in his bag. Suddenly, a gust of wind blew leaves over the bag, hiding the trumpet from sight. Fred did not see the wind blow the leaves.;Does Fred think his trumpet is in his bag or hidden from view?;Fred believed his trumpet was in his bag.;Fred believed his trumpet was hidden from view.;trumpet
Amy was in her room playing with her toy angel. Amy wanted to make the angel fly in the air. The angel's wings were open wide. Suddenly, a gust of wind struck and the angel's wings closed. Amy didn't see the gust of wind.;Does Amy believe the angel's wings are open or closed?;Amy believes the angel's wings are open.;Amy believes the angel's wings are closed.;Angel
Sally is inside her house, thinking about the garden outside. Sally wants to plant flowers in the earth. The earth is dry and warm. Suddenly, while Sally is still inside, a heavy rain cools the earth. Sally doesn't notice the rain.;Does Sally think the earth is dry and warm or cool and wet?;Sally believes the earth is dry and warm.;Sally believes the earth is cool and wet.;Earth
Dora is at the farm with her dad. Dora wants to ride the big, hairy horse. The horse is standing in the field. Suddenly, a loud noise from a passing truck scares the horse and it lies down on the grass. Dora does not hear the loud noise.;Does Dora think the horse is standing or lying down in the field?;Dora thinks the horse is standing in the field.;Dora thinks the horse is scared and lying down in the field.;horse
Ben was at the park playing with his dog. Ben wanted to make his dog's hair look nice by brushing it. The dog's hair was very safe to touch. Suddenly, a bee stung the dog making its hair dangerous to touch due to the dog's allergic reaction. Ben doesn't see the bee sting his dog.;Does Ben believe the dog's hair is safe or dangerous to touch?;Ben believes the dog's hair is safe to touch.;Ben believes the dog's hair is dangerous to touch.;Dog's hair
Lila was in an ancient city. Lila wanted to walk on the ancient road. The road was full of old stones. Suddenly, an earthquake shook the ground, causing the stones of the road to be cracked and destroyed. Lila didn't feel the earthquake.;Does Lila think the road is full of old stones or destroyed?;Lila believes the road is full of old stones.;Lila believes the road is destroyed.;road
Quinn was at the park on a sunny day. Quinn wanted to unite his friends for a fun event. Their picnic basket was full of food. Suddenly, a sneaky raccoon emptied the picnic basket while no one was looking. Quinn does not see the sneaky raccoon.;Does Quinn believe the picnic basket is full or empty?;Quinn believes the picnic basket is full.;Quinn believes the picnic basket is empty.;picnic basket
Harry was at the park with his little red wagon. Harry wanted to ride his wagon down the big hill. The wagon was safe and sturdy. All of a sudden, a loose wheel made the wagon very dangerous. Harry didn't see the loose wheel.;Does Harry think his wagon is safe or dangerous?;Harry thinks his wagon is safe.;Harry thinks his wagon is dangerous.;Wagon
Omar was on a beach during the day. Omar wanted to find a special shell hidden under the palm trees. The shells were hidden under the sand. Suddenly, a playful dog ran over and scattered the sand, making the shells visible. Omar didn't see the dog scatter the sand.;Does Omar think the shells are hidden under the sand or visible on top of the sand?;Omar believes the shells are still hidden under the sand.;Omar believes the shells are now visible on top of the sand.;shells under the sand.
Quentin was at the farm with all the animals. Quentin wanted to feed the goat. The goat was in the organized pen. Suddenly, a group of kids playing nearby left the gate open, allowing the goat to wander into a hot, sunny area. Quentin does not see the kids leaving the gate open.;Does Quentin think the goat is in the organized pen or in the hot, sunny area?;Quentin believes the goat is in the organized pen.;Quentin believes the goat is in the hot, sunny area.;Goat
Nia was in the attic of her old house. Nia wanted to find her old toy car in the attic. The toy car was charged. Suddenly, a mouse chewed the wires of the toy car and it became discharged. Nia did not see the mouse.;Does Nia think the toy car is charged or discharged?;Nia thinks the toy car is charged.;Nia thinks the toy car is discharged.;Toy car
Yolanda was at a toy store. Yolanda wanted to buy a model car for her little brother. The model car was on the top shelf. Suddenly, an employee moved the model car to a lower shelf. Yolanda doesn't see the employee move the model car.;Does Yolanda believe the model car is on the top shelf or on a lower shelf?;Yolanda believes the model car is on the top shelf.;Yolanda believes the model car is on a lower shelf.;model car
Kim was in the park with her friends. Kim wanted to eat her pasta lunch. The pasta was in a plastic box. Suddenly, a stray football kicked by a child broke the plastic box. Kim doesn't see the football hit her box.;Does Kim think the pasta is in a broken or intact box?;Kim thinks the box is intact and the pasta is in the box.;Kim thinks the box is broken and the pasta is on the ground.;plastic box
Ben was in his room playing with his toy robot. Ben wanted his robot to move and speak. The toy robot's battery was fully charged. Suddenly, the battery drained and became discharged. Ben didn't see the robot stop moving.;Does Ben think the toy robot's battery is charged or discharged?;Ben thinks the toy robot's battery is charged.;Ben thinks the toy robot's battery is discharged.;Toy robot's battery
Sam was at a big art show. Sam wanted to buy a creative painting. The painting had a low price. Suddenly, a famous artist praised the painting, which changed its price to very high. Sam does not hear the famous artist.;Does Sam believe the painting is low priced or high priced?;Sam believes the painting is low priced.;Sam believes the painting is high priced.;painting
Rita was at the park for a walk. Rita wanted to sit on a clean bench. The bench was clean and dry. Suddenly, a careless person spilled a drink on the bench, making it wet and sticky. Rita didn't see the person spill the drink.;Does Rita believe the bench is clean and dry or wet and sticky?;Rita believes the bench is clean and dry.;Rita believes the bench is wet and sticky.;bench
Polly was at the bus stop. Polly wanted to start her journey to school. The bus was on time. Suddenly, the bus broke down and was off schedule. Polly did not see the bus break down.;Does Polly think the bus is on time or off schedule?;Polly thinks the bus is on time.;Polly thinks the bus is off schedule.;bus
Zoe was in her room with a big box of toys. Zoe wanted to sort her toys and put them in the box. The box was open. Suddenly, her little brother came in and closed the box. Zoe didn't see her brother close the box.;Does Zoe think the box is open or closed?;Zoe thinks the box is open.;Zoe thinks the box is closed.;box
Rosa was in her room with her furry cat. Rosa wanted to play music and have her cat sit with her. The music player was fully charged. Suddenly, a power surge discharged the music player. Rosa doesn't notice the power surge.;Does Rosa believe the music player is charged or discharged?;Rosa believes the music player is charged.;Rosa believes the music player is discharged.;Music player
Nina was in the garden picking vegetables. Nina wanted to pick some crunchy celery for her salad. The celery was clean and fresh. Suddenly, her brother dumped mud on the garden, making the celery dirty and mushy. Nina didn't see her brother dump the mud.;Does Nina think the celery is clean and crunchy or dirty and mushy?;Nina thinks the celery is clean and crunchy.;Nina thinks the celery is dirty and mushy.;Celery
Ivy was at a pet shop. Ivy wanted to buy a small cat with soft fur. She had enough money to buy the cat. Suddenly, the cat won a local pet show and its price went up to more than Ivy had. Ivy did not see the pet show prize.;Does Ivy believe the cat's fur is soft and shiny or does she think it's not?;Ivy believes the cat is not too expensive.;Ivy believes the cat is too expensive.;Cat
Mae was in her garden. Mae wanted to feed the birds with a worm. The worm was big and juicy. Suddenly, a hungry mole ate the worm, leaving no worm for the birds. Mae didn't see the mole eat the worm.;Does Mae believe the worm is big and juicy or that there's no worm?;Mae believes the worm is big and juicy.;Mae believes there's no worm.;worm
Ruby was at the park with her friends. Ruby wanted to skip with her jump rope. The rope was coiled up neatly. Suddenly, a skateboarder went by and the rope got caught in its wheels, leaving it tangled. Ruby doesn't see skateboarder.;Does Ruby think the rope is coiled neatly or tangled?;Ruby believes the rope is coiled neatly.;Ruby believes the rope is tangled.;Rope
Nellie was in the park with her friends. Nellie wanted to share her pizza with her friends. The pizza box was closed. Suddenly, a dog ran by and knocked over the pizza box, leaving the pizza broken and scattered. Nellie didn't see the dog knock over the pizza box.;Does Nellie think the pizza is in the box or broken and scattered?;Nellie believes the pizza is in the box.;Nellie believes the pizza is broken and scattered.;pizza box
Harry was in school, waiting for the quiz to start. Harry wanted to do well on the quiz. The quiz looked easy. Suddenly, his friend whispered that the quiz would be very hard. Harry didn't hear the teacher's announcement.;Does Harry think the quiz is easy or hard?;Harry thinks the quiz is easy.;Harry thinks the quiz is hard.;Quiz
Iris was at a big game in the park. Iris wanted to find a lucky seat to watch the game. The seat was clean and dry. Suddenly, a spilled drink made the seat wet and sticky. Iris didn't feel the wetness of the drink.;Does Iris believe the seat is clean and dry or wet and sticky?;Iris believes the seat is clean and dry.;Iris believes the seat is wet and sticky.;seat
Ella was at the park near the hospital. Ella wanted to eat her apple under the high tree. The apple was very fresh. Suddenly, a big bug flew by and bit into the apple, making it not fresh anymore. Ella did not see the big bug.;Does Ella think her apple is fresh or bitten by a bug?;Ella thinks her apple is fresh.;Ella thinks her apple has been bitten by a bug.;Apple
Elsa was in the park with her friends. Elsa wanted to create a strong mud castle. The mud was wet and easy to shape. While Elsa was on the playground, the hot sun made the mud dry and hard. Elsa doesn't feel the hot sun.;Does Elsa think the mud is wet and easy to shape or dry and hard?;Elsa thinks the mud is wet and easy to shape.;Elsa thinks the mud is dry and hard.;Mud
Rita was in her small village. Rita wanted the village to become more obedient and quiet. The village was peaceful and intact. Suddenly, a minor earthquake shook the village, changing it from intact to broken. Rita does not feel the earthquake.;Does Rita think the village is intact or broken?;Rita thinks the village is intact.;Rita thinks the village is broken.;village
Uma was at the park with her friends. Uma wanted to slide down the big slide. The slide was safe for kids. Suddenly, a loose screw made the slide dangerous. Uma doesn't see the loose screw.;Does Uma think the slide is safe or dangerous?;Uma thinks the slide is safe.;Uma thinks the slide is dangerous.;Slide
Yara was in her room, playing with her toy car. Yara wanted to make the toy car jump off a ramp she had made. The toy car was noisy and running. Suddenly, the battery in the toy car ran out, making it quiet and still. Yara doesn't notice the toy car has stopped.;Does Yara think the toy car is noisy and running or quiet and still?;Yara thinks the toy car's battery is charged'.;Yara thinks the toy car's battery is not charged.;toy car
