Tim was in the kitchen, ready to make lunch. Tim wanted to make a big bowl of pasta. The pasta box was full. Tim believed the pasta box was full. While Tim was busy cutting vegetables, his little sister came into the kitchen and took some pasta to play with. Tim sees his sister leaving the kitchen with some pasta in her hand.;Does Tim think the pasta box is full or not?;Tim believes the pasta box is not full.;Tim believes the pasta box is full.;pasta box
Fiona was at the park with her friends. They wanted to play a game of soccer. The ball they had was clean and shiny. Fiona believed the ball was clean and shiny. While they were playing, the ball rolled into a muddy puddle and got dirty. Fiona sees the ball in the muddy puddle.;Does Fiona think the ball is clean or dirty?;Fiona believes the ball is dirty.;Fiona believes the ball is clean.;Ball
Olivia was at the park, sitting on a bench. Olivia wanted to feed the ducks with her bag of bread. The bread was fresh and smelled good. Olivia believed the bread was fresh and smelled good. While Olivia was watching the ducks, a naughty squirrel snuck over to the bench and took a piece of bread, dropping it into a muddy puddle. Olivia sees the squirrel run away with a piece of bread.;Does Olivia think the bread is fresh and smells good or is dirty and smells bad?;Olivia believes the bread is dirty and smells bad.;Olivia believes the bread is fresh and smells good.;Bread
John was at the park, sitting on a bench. John wanted to propose to his girlfriend and marry her. His ring box was in his cap. John believed the ring was in his cap. While John was busy looking at the squirrels, a hairy dog came and picked up the cap, shaking it and making the ring fall out. John sees the dog with his cap in its mouth.;Does John think the ring is in his cap or not?;John believes the ring is not in his cap.;John believes the ring is in his cap.;Cap
Vinny was in the gloomy hall of his school. He wanted to zoom around on his new roller skates. The hall was empty. Vinny believed the hall was empty. While Vinny was putting on his skates, a janitor came in and started mopping the floor, making it slippery. Vinny sees the janitor mopping the floor.;Does Vinny think the hall is empty or slippery?;Vinny believes the hall is slippery.;Vinny believes the hall is empty.;hall
Sam was at the beach, having a picnic. Sam wanted to visit his friend after eating his sandwich. The sandwich was tasty. Sam believed the sandwich was tasty. While Sam was busy looking at the sea, a seagull swooped down and dropped some salt on his sandwich. Sam sees the seagull flying away from his picnic spot.;Does Sam think his sandwich is tasty or too salty?;Sam believes his sandwich is too salty.;Sam believes his sandwich is tasty.;Sandwich
Quin was at the park with his friends. Quin wanted to show his friends he was brave. The park's gate was locked. Quin believed the gate was locked. While Quin was daring his friends to race, the park keeper came and unlocked the gate. Quin sees the park keeper unlocking the gate.;Does Quin think the gate is locked or unlocked?;Quin believes the gate is unlocked.;Quin believes the gate is locked.;park's gate
Sam was in the park, near the big inflatable castle. Sam wanted to jump and play in the castle. The castle was big and inflated. Sam believed the castle was big and inflated. While Sam was playfully chasing a butterfly, a sharp stick slowly poked a hole in the castle and it started to deflate. Sam sees the castle starting to deflate.;Does Sam think the castle is inflated or deflated?;Sam believes the castle is deflated.;Sam believes the castle is inflated.;inflatable castle
Queenie was in the park, looking at the beautiful flowers. Queenie wanted to pick a green leaf to make a print for her art project. The leaf she saw was fresh and green. Queenie believed the leaf was fresh and green. While Queenie was wandering around the park, the sun got hotter and the leaf dried up in the heat. Queenie sees the leaf dried up when she returns to it.;Does Queenie think the leaf is fresh or dried up?;Queenie believes the leaf is dried up.;Queenie believes the leaf is fresh.;Leaf
Mabel was near a swamp, looking for frogs. Mabel wanted to catch a frog to show her friends. The swamp was still and quiet. Mabel believed the swamp was still and quiet. While Mabel was being careful not to step on anything sharp, a fish swam by and caused ripples in the swamp. Mabel sees the ripples caused by the fish.;Does Mabel think the swamp is still and quiet or not?;Mabel believes the swamp is not still and quiet.;Mabel believes the swamp is still and quiet.;swamp
