Jack is in the kitchen in his house. Jack wants a cold drink from the refrigerator. The refrigerator is full of fresh food. A bird flies into the kitchen through the open window. Jack doesn't see the bird fly into the kitchen.;refrigerator
Caden is in his new house. Caden wants to fix all the things that are not right. There is a big leak in the roof. A bird lands on the roof. Caden doesn't see the bird land on the roof.;leak
Vivi is in her room playing with her toys. Vivi wants to lay her small, patient triangle toy on the shelf with her other toys. The triangle toy is in her toy box. A bird flies into the room through the open window. Vivi doesn't see the bird fly into the room.;triangle toy
Emma is in her room after a long day at school. Emma wants to draw on her white bathrobe to make it look creative. The bathrobe is plain and white. A cat walks into Emma's room. Emma doesn't see the cat walk into her room.;bathrobe
Ollie is at the beach building a sand castle. Ollie wants to dig a deep hole with his spade. The spade is sharp and safe to use. A seagull lands near Ollie's sand castle. Ollie doesn't see the seagull land near his sand castle.;spade
Ben is at the train station. Ben wants to catch the train to go to work. The train is on time. A crazy dog runs across the train tracks. Ben doesn't see the crazy dog run across the tracks.;train
Pia is at her school library. Pia wants to read a mystery book. The mystery book is on the top shelf. A cat sneaks into the library. Pia doesn't see the cat sneak into the library.;mystery book
Chloe is at a fair in her town. Chloe wants to hug the fireman at the fair. The fireman is very friendly. A clown starts making balloon animals at the fair. Chloe doesn't see the clown making balloon animals.;Fireman
Wendy is at a yard sale in her town. Wendy wants to buy a beautiful bracelet she saw. The bracelet is shiny and cheap. A dog runs through the yard sale, knocking over a table. Wendy does not see the dog run through the yard sale.;bracelet
Yara is in her room with her favorite teddy bear, Stitch. Yara wants to hide Stitch so her little brother cannot find him. Stitch smells like yummy vanilla because Yara sprayed him with her vanilla perfume. A cat enters the room through the open door. Yara does not see the cat enter the room.;Stitch (teddy bear)
Nia is in her home, ready to bake a cake. Nia wants to bake a cake in the oven. The oven is in good working order. A cat walks into the kitchen. Nia does not see the cat walk into the kitchen.;Oven
Amy is walking in the park. Amy wants to sit on a bench and rest. The bench is covered with pretty vines. A squirrel runs across the path in front of Amy. Amy doesn't see the squirrel running across the path.;Bench
Kate is in the park with her old toy car. Kate wants to drive the toy car on the clean cloth she brought. The cloth is clean and spread on the grass. A butterfly lands on Kate's toy car. Kate doesn't see the butterfly land on her toy car.;cloth
Ella is at the park with her parent. Ella wants to complete her ice cream before it melts. The ice cream has a sweet taste. A light rain begins to fall. Ella doesn't feel the light rain.;Ice cream
Uma is in her room with a big clock on the wall. Uma wants to move the clock to another room. The clock is brown. A cat enters the room and starts playing with a ball of yarn. Uma doesn't see the cat playing.;Clock
