Noor is making coffee at a busy shop. Noor wants to make a yummy coffee with oat milk for a person. Noor picks a milk jar and puts oat milk in it.;Does Noor think the milk jar has oat milk or almond milk?;Noor thinks the milk jar has almond milk.;Noor thinks the milk jar has oat milk.
Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully.;Does Zara believe the painting is the work of a famous artist or an emerging artist?;Zara believes the painting is the work of an emerging artist.;Zara believes the painting is the work of a famous artist.
Carlos is a farmer in a little place, watching his corn field. He wants to give water to his plants by opening a water door connected to a river nearby. Carlos closed the water door last night.;Does Carlos think the water door is closed or open?;Carlos thinks the water door is already open.;Carlos thinks the water door is still closed.
Sam is playing in his room with his toy train. Sam wants to make his toy train move fast on the track. Sam sees the train's battery light is on.;Does Sam believe the train's battery is full or empty?;Sam believes the train's battery is empty.;Sam believes the train's battery is full.
Henry is in the kitchen, getting ready for a tea party with his teddy bears. He wants to make a cup of tea for each of his teddy bears. Henry sees that the tea pot is full.;Does Henry believe the tea pot is full or empty?;Henry believes the tea pot is empty.;Henry believes the tea pot is full.
Lily is in her garden, looking at her apple tree. She wants to pick some apples to make a pie. Lily sees that the apples on the tree are big and red.;Does Lily believe the apples are on the tree or on the ground?;Lily believes the apples are on the ground.;Lily believes the apples are on the tree.
Fred is in his backyard with his dog, Spot. Fred wants to play a game of fetch with Spot. He sees his red ball is clean and ready to play with.;Does Fred believe the ball is clean or dirty?;Fred believes the ball is dirty.;Fred believes the ball is clean.
Luke is in his room, ready to paint a picture. Luke wants to paint a bright sun with yellow paint. Luke sees that the yellow paint jar is full.;Does Luke believe the yellow paint jar is full or empty?;Luke believes the yellow paint jar is empty.;Luke believes the yellow paint jar is full.
Emma is in the park, ready to play with her red ball. She wants to kick the ball into the goal. Emma sees that the ball is full of air.;Does Emma believe the ball is full of air or has no air?;Emma believes the ball has no air.;Emma believes the ball is full of air.
Rita is in her room, playing with her favorite doll. She wants to dress up her doll for a pretend tea party. Rita sees that the doll's dress is clean and pretty.;Does Rita believe the doll's dress is clean or stained?;Rita believes the doll's dress is stained.;Rita believes the doll's dress is clean.
