Nala was in her room ready to sleep. Nala wants to have a good night's sleep without any nightmares. The door to Nala's room is locked. Nala believes the door to her room is locked. A purple butterfly flies into the room through the open window. Nala turns off the light and lies down to sleep.;Does Nala think the door to her room is locked or unlocked?;Nala believes the door to her room is locked.;Nala believes the door to her room is unlocked.;door to Nala's room
Hugo was in the park with his friends. Hugo wanted to win the kite flying contest. The string of Hugo's kite was strong. Hugo believed the string of his kite was strong. A squirrel runs by with a nut in its mouth. Hugo gets ready to fly his kite high in the sky.;Does Hugo think the string of his kite is strong or weak?;Hugo believes the string of his kite is strong.;Hugo believes the string of his kite is weak.;string of Hugo's kite
Ravi was at the fish market. Ravi wanted to buy a fish for his mom to cook for dinner. The fish on the scale was heavy. Ravi believed the fish on the scale was heavy. A scared cat runs through the fish market. Ravi decides to ask the fishmonger to help him carry the heavy fish to his car.;Does Ravi believe the fish on the scale is heavy or light?;Ravi believes the fish on the scale is heavy.;Ravi believes the fish on the scale is light.;fish on the scale
Vito was at a birthday party. Vito wanted to give his friend a special gift. The gift was wrapped in a shiny paper. Vito thought the gift was wrapped in a shiny paper. A clown comes into the room to perform a magic show. Vito plans to give the wrapped gift to his friend.;Does Vito think the gift is wrapped or unwrapped?;Vito believes the gift is wrapped.;Vito believes the gift is unwrapped.;gift
Tim was in the kitchen, ready to make lunch. Tim wanted to make a big bowl of pasta. The pasta box was full. Tim believed the pasta box was full. A bird flies into the kitchen through the open window. Tim starts boiling water to cook the pasta.;Does Tim think the pasta box is full or not?;Tim believes the pasta box is full.;Tim believes the pasta box is not full.;pasta box
Wendy was in the park, sitting on a bench. Wendy wanted to play a charming tune on her small flute. The flute was in her bag. Wendy believed the flute was in her bag. A squirrel runs up a tree nearby. Wendy reaches into her bag to get her flute.;Does Wendy think her flute is in her bag or in the lost and found box?;Wendy believes her flute is in her bag.;Wendy believes her flute is in the lost and found box.;Wendy's flute
Gigi was at the park with her friends. Gigi wanted to share her mints with her friends. The mint box was full of fat, healthy mints. Gigi believed the mint box was full of fat, healthy mints. A rainbow appears in the sky. Gigi decides to behave generously and share the mints with her friends.;Does Gigi think the mints in the box are fat and healthy or nibbled and sickly?;Gigi believes the mints in the box are fat and healthy.;Gigi believes the mints in the box are nibbled and sickly.;mint box
Remy was in the park playing with his colorful parrot. Remy wanted his parrot to learn a new trick. The parrot was sitting on a clear and open branch. Remy believed his parrot was sitting on a clear and open branch. A squirrel runs across the park. Remy continues to teach his parrot the new trick.;Does Remy think his parrot is sitting on a clear and open branch or an obscured branch?;Remy believes his parrot is sitting on a clear and open branch.;Remy believes his parrot is sitting on an obscured branch.;the branch the parrot is sitting on
Pete was at the park, ready to eat his lunch. Pete wanted to enjoy his food while watching the birds. The food in Pete's lunch box was fresh and yummy. Pete believed his food was fresh and yummy. A patient dog sits down next to Pete, watching him. Pete takes a bite of his sandwich, enjoying the fresh taste.;Does Pete think his food is fresh and yummy or bitten by a squirrel?;Pete believes his food is fresh and yummy.;Pete believes his food has been bitten by a squirrel.;food in Pete's lunch box
Quin was in the park with his gray paint and brush. Quin wanted to paint a big tree on a big balloon. The balloon was empty. Quin believed the balloon was empty. A squirrel runs past Quin, carrying a nut. Quin dips his brush into the gray paint to start painting the tree.;Does Quin think the balloon is empty or filled with air?;Quin believes the balloon is empty.;Quin believes the balloon is filled with air.;balloon
