Nala was in her room ready to sleep. Nala wants to have a good night's sleep without any nightmares. The door to Nala's room is locked. Nala believes the door to her room is locked. A purple butterfly flies into the room through the open window. Nala doesn't see the purple butterfly.;Does Nala think the door to her room is locked or unlocked?;Nala believes the door to her room is locked.;Nala believes the door to her room is unlocked.;door to Nala's room
Hugo was in the park with his friends. Hugo wanted to win the kite flying contest. The string of Hugo's kite was strong. Hugo believed the string of his kite was strong. A squirrel runs by with a nut in its mouth. Hugo doesn't see the squirrel.;Does Hugo think the string of his kite is strong or weak?;Hugo believes the string of his kite is strong.;Hugo believes the string of his kite is weak.;string of Hugo's kite
Ravi was at the fish market. Ravi wanted to buy a fish for his mom to cook for dinner. The fish on the scale was heavy. Ravi believed the fish on the scale was heavy. A scared cat runs through the fish market. Ravi doesn't see the scared cat.;Does Ravi believe the fish on the scale is heavy or light?;Ravi believes the fish on the scale is heavy.;Ravi believes the fish on the scale is light.;fish on the scale
Vito was at a birthday party. Vito wanted to give his friend a special gift. The gift was wrapped in a shiny paper. Vito thought the gift was wrapped in a shiny paper. A clown comes into the room to perform a magic show. Vito doesn't see the clown because he is still in the other room.;Does Vito think the gift is wrapped or unwrapped?;Vito believes the gift is wrapped.;Vito believes the gift is unwrapped.;gift
Tim was in the kitchen, ready to make lunch. Tim wanted to make a big bowl of pasta. The pasta box was full. Tim believed the pasta box was full. A bird flies into the kitchen through the open window. Tim does not see the bird.;Does Tim think the pasta box is full or not?;Tim believes the pasta box is full.;Tim believes the pasta box is not full.;pasta box
Wendy was in the park, sitting on a bench. Wendy wanted to play a charming tune on her small flute. The flute was in her bag. Wendy believed the flute was in her bag. A squirrel runs up a tree nearby. Wendy doesn't see the squirrel.;Does Wendy think her flute is in her bag or in the lost and found box?;Wendy believes her flute is in her bag.;Wendy believes her flute is in the lost and found box.;Wendy's flute
Gigi was at the park with her friends. Gigi wanted to share her mints with her friends. The mint box was full of fat, healthy mints. Gigi believed the mint box was full of fat, healthy mints. A rainbow appears in the sky. Gigi doesn't see the rainbow.;Does Gigi think the mints in the box are fat and healthy or nibbled and sickly?;Gigi believes the mints in the box are fat and healthy.;Gigi believes the mints in the box are nibbled and sickly.;mint box
Remy was in the park playing with his colorful parrot. Remy wanted his parrot to learn a new trick. The parrot was sitting on a clear and open branch. Remy believed his parrot was sitting on a clear and open branch. A squirrel runs across the park. Remy doesn't see the squirrel because he is too focused on his game.;Does Remy think his parrot is sitting on a clear and open branch or an obscured branch?;Remy believes his parrot is sitting on a clear and open branch.;Remy believes his parrot is sitting on an obscured branch.;the branch the parrot is sitting on
Pete was at the park, ready to eat his lunch. Pete wanted to enjoy his food while watching the birds. The food in Pete's lunch box was fresh and yummy. Pete believed his food was fresh and yummy. A patient dog sits down next to Pete, watching him. Pete doesn't see the patient dog.;Does Pete think his food is fresh and yummy or bitten by a squirrel?;Pete believes his food is fresh and yummy.;Pete believes his food has been bitten by a squirrel.;food in Pete's lunch box
Quin was in the park with his gray paint and brush. Quin wanted to paint a big tree on a big balloon. The balloon was empty. Quin believed the balloon was empty. A squirrel runs past Quin, carrying a nut. Quin doesn't see the squirrel.;Does Quin think the balloon is empty or filled with air?;Quin believes the balloon is empty.;Quin believes the balloon is filled with air.;balloon
Yara was at a party with her friends. Yara wanted to sing her favorite song for everyone. The microphone was working fine. Yara believed the microphone was working fine. A dog runs into the party and starts to play with the balloons. Yara doesn't see the dog playing with the balloons.;Does Yara think the microphone is working fine or has stopped working?;Yara believes the microphone is working fine.;Yara believes the microphone has stopped working.;microphone
Sam was at the space station, waiting to travel back to Earth. Sam wants to return home to see his family. The spaceship's launch schedule was synchronized with Earth's rotation. Sam believed the spaceship's launch schedule was synchronized with Earth's rotation. A shooting star passes by the space station. Sam doesn't see the shooting star.;Does Sam believe the spaceship's launch schedule is synchronized or asynchronous with Earth's rotation?;Sam believes the spaceship's launch schedule is synchronized with Earth's rotation.;Sam believes the spaceship's launch schedule is asynchronous with Earth's rotation.;spaceship's launch schedule
Ina was at the park, sitting on a gray bench. Ina wanted to solve the puzzle in her story book. The puzzle in the story book was hard. Ina thought the puzzle in the story book was hard. A squirrel runs across the park. Ina doesn't see the squirrel.;Does Ina think the puzzle in the story book is hard or solved?;Ina believes the puzzle in the story book is hard.;Ina believes the puzzle in the story book is solved.;puzzle in the story book
Lenny was at the market to buy a smelly cheese. Lenny wanted to find the best smelly cheese for his mom. The cheese was very expensive. Lenny believed the cheese was very expensive. A juggler starts performing in the middle of the market. Lenny does not see the juggler.;Does Lenny think the cheese is expensive or damaged and therefore less expensive?;Lenny believes the cheese is very expensive.;Lenny believes the cheese is damaged and therefore less expensive.;cheese
Kip was at the mall looking at a beautiful painting. Kip wanted to buy the painting to put it in his room. The painting was very expensive. Kip believed the painting was very expensive. A clown starts to make balloon animals near the painting. Kip doesn't see the clown because he is still in the other store.;Does Kip think the painting is very expensive or on sale?;Kip believes the painting is very expensive.;Kip believes the painting is on sale.;the painting at the mall
Jake was in the kitchen ready to make dinner. Jake wanted to make a big salad with all the fresh groceries he bought. The knife he uses to cut veggies was very sharp. Jake believed the knife was very sharp. A reliable old friend calls Jake on the phone. Jake doesn't hear the phone ringing because he's busy in the kitchen.;Does Jake think the knife is sharp or dull?;Jake believes the knife is sharp.;Jake believes the knife is dull.;knife
