Noor is making coffee at a busy shop. Noor wants to make a yummy coffee with oat milk for a person. Noor picks a milk jar and puts oat milk in it. Noor wants to make coffee with almond milk. A pretty cup falls from a shelf.;What will Noor do?;Noor will make the coffee using the milk in the jar.;Noor will open the fridge again, take out the oat milk, and swap out the almond milk.
Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. A gallery visitor accidentally spills a glass of water near the painting. Zara observes the water spill.;What will Zara do?;Zara will look for more information about the famous artist.;Zara will look for more information about the emerging artist.
Carlos is a farmer in a little place, watching his corn field. He wants to give water to his plants by opening a water door connected to a river nearby. Carlos closed the water door last night. A group of big birds comes to the corn field. Carlos sees the big birds in his field.;What will Carlos do?;Carlos will phone his friend to ask if they can open the water door.;Carlos will phone his friend to ask if they can close the water door.
Nia is in her room with her big toy cabinet. Nia wants to take out her doll to play with it. The cabinet door is shut tight. Nia's pet cat jumps on her bed. Nia sees her cat jump on the bed.;What will Nia do?;Nia will walk over to open the cabinet door.;Nia will walk over to close the cabinet door.
Ugo is in his house with his small pet dog, Spot. Ugo wants to give Spot a new toy to play with. The toy is on the high shelf in the kitchen. A bird flies into the house through an open window. Ugo sees the bird fly in.;What will Ugo do?;Ugo will ask Bob to help get the toy from the high shelf.;Ugo will thank Bob for taking the toy down.
Harry is at the beach with his red ball. Harry wants to play catch with the ball in the ocean. The ball is dry and ready for play. A seagull lands near Harry. Harry sees the seagull land.;What will Harry do?;Harry will take the ball to play catch in the ocean.;Harry will go to dry the ball in the sun.
Umi is in her garden with her big, green plant. Umi wants to water the plant because it is a hot day. The plant is dry and needs water. A butterfly lands on the plant. Umi sees the butterfly.;What will Umi do?;Umi will water the plant.;Umi will put the watering can away.
Gracie is in her room with a big box of toys. Gracie wants to play with her favorite doll. The doll is in the box with all the other toys. A butterfly flies into the room through the open window. Gracie sees the butterfly.;What will Gracie do?;Gracie will reach into the box to get her doll.;Gracie will ask Jack where her doll is.
Oliver is in the park with his friendly cat, Mittens. Oliver wants to warn Mittens not to climb the tall tree. The tree is very tall and scary. A butterfly lands on Mittens' nose. Oliver sees the butterfly land on Mittens' nose.;What will Oliver do?;Oliver will warn Mittens not to climb the tree.;Oliver will let Mittens play near the tree.
Annie is at the park with her kite. Annie wants to fly her kite in the sky. The kite is on the ground and ready to fly. A dog runs past Annie. Annie sees the dog running past.;What will Annie do?;Annie will pick up the kite to start flying it.;Annie will run to catch the kite.
