Noor is making coffee at a busy shop. Noor wants to make a yummy coffee with oat milk for a person. Noor picks a milk jar and puts oat milk in it. Noor thinks the milk jar has oat milk. A work friend, who didn't hear what the person wanted, changes the oat milk in the jar with almond milk while Noor is doing something else. Noor doesn't see her friend change the milk.;What will Noor do?;Noor will make the coffee using the milk in the jar.;Noor will open the fridge again, take out the oat milk, and swap out the almond milk.
Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. Zara believes that the painting is the work of a famous artist. A gallery staff member, realizing there was a mix-up, changes the label with the correct information attributing the painting to an emerging artist instead. Zara does not read the updated label.;What will Zara do?;Zara will look for more information about the famous artist.;Zara will look for more information about the emerging artist.
Carlos is a farmer in a little place, watching his corn field. He wants to give water to his plants by opening a water door connected to a river nearby. Carlos closed the water door last night. Carlos thinks the water door is closed now. At night, a big rain makes the river too full, opens the water door and puts too much water in the corn field. Carlos doesn't see the field full of water.;What will Carlos do?;Carlos will phone his friend to ask if they can open the water door.;Carlos will phone his friend to ask if they can close the water door.
Kofi catches fish in a little place in Ghana. He wants to catch lots of fish today for his family and to sell some. Kofi fixed his fish net last night. Kofi thinks his fish net is good now. When Kofi is not near his boat, some monkeys come and play with the fish net, breaking it. Kofi doesn't see the monkeys breaking his net.;What will Kofi do?;Kofi will use his net to catch fish.;Kofi will buy new fixing stuff to fix the fish net.
Ravi is a farmer in a small place in India, looking after his mango trees. Ravi wants to pick ripe mangoes to sell them. He sees a mango tree with a big branch full of ripe mangoes. Ravi thinks the branch has ripe mangoes to pick. A naughty monkey comes and eats all the ripe mangoes from the branch while Ravi is getting his picking tools. Ravi doesn't see the monkey eating ripe mangoes.;What will Ravi do?;Ravi will pick ripe mangoes from the branch.;Ravi will look for another tree with ripe mangoes.
Hana is a little girl who lives in a house with a big garden. Hana wants to play with her bouncy ball in the garden. She sees her bouncy ball in the corner, shiny and round. Hana believes her bouncy ball is ready to play with. A gust of wind comes and blows the bouncy ball into a muddy puddle, making it dirty. Hana doesn't see her bouncy ball get blown into the muddy puddle.;What will Hana do?;Hana will go to the corner to pick up her bouncy ball.;Hana will go inside to get a cloth to clean her bouncy ball.
Ina is a little girl who loves playing in her backyard. She wants to play with her red ball. Ina sees her ball in the backyard, clean and shiny. Ina believes her ball is clean. Suddenly, a big dog from the neighborhood runs into the backyard and gets the ball all dirty with mud. Ina doesn't see the dog making her ball dirty.;What will Ina do?;Ina will run to the backyard to play with her ball.;Ina will get a bucket of water and soap to clean her ball.
Zara is a little girl who loves drawing. Zara wants to draw a big, beautiful tree. She sees her box of colored pencils, sharp and ready to use. Zara believes her colored pencils are ready for drawing. Suddenly, her little brother comes and takes the box to the other room, leaving the pencils scattered and dull. Zara doesn't see her little brother scatter her colored pencils.;What will Zara do?;Zara will start to draw with her colored pencils.;Zara will find her pencil sharpener to sharpen her colored pencils.
Xavier is in his garden, looking at his big apple tree. He wants to pick the ripe apples from the tree. The apples look red and ready to eat. Xavier thinks the apples are ripe and ready to eat. Suddenly, a strong wind blows and shakes the tree, causing the apples to fall and get bruised. Xavier doesn't see the apples falling.;What will Xavier do next?;Xavier will pick the ripe apples from the tree.;Xavier will start making apple sauce.
Vicky is a small girl in a big house. She wants to draw a picture with her blue crayon. Vicky sees her crayon box on the table, full of crayons. Vicky believes her blue crayon is in the box. Suddenly, her little brother takes the blue crayon and runs away with it. Vicky doesn't see her brother taking the blue crayon.;What will Vicky do?;Vicky will walk to the table to get her blue crayon.;Vicky will run after her brother to get the blue crayon back.
