Dino is at a big party with his friends. Dino wants to share a big, thin cake with his friends. The cake is on a high table. A big balloon pops and makes a loud noise. Dino doesn't hear the big balloon pop.;cake
Caden is in his new house. Caden wants to fix all the things that are not right. There is a big leak in the roof. A bird lands on the roof. Caden doesn't see the bird land on the roof.;leak
Vivi is in her room playing with her toys. Vivi wants to lay her small, patient triangle toy on the shelf with her other toys. The triangle toy is in her toy box. A bird flies into the room through the open window. Vivi doesn't see the bird fly into the room.;triangle toy
Ira is in her big room. Ira wants to draw on her weird desk. The desk is very clean. A bird flies in through the window. Ira doesn't see the bird fly in.;desk
Wally is sitting in his room after a long day. Wally wants to draw a calm picture with his pastels. The pastels are in a big box. The room starts to glow with a soft light from the setting sun. Wally doesn't see the room glow.;pastels
Remy is in the woods by the river. Remy wants to build a boat with a big, shy log. The log is very heavy. A bird sings a beautiful song. Remy doesn't hear the bird sing.;log
Jack is in the kitchen in his house. Jack wants a cold drink from the refrigerator. The refrigerator is full of fresh food. A bird flies into the kitchen through the open window. Jack doesn't see the bird fly into the kitchen.;refrigerator
Polly is in a busy room cleaning up. Polly wants to make the room clean with her new mop. The mop is in the corner of the room. A bird flies into the room through the open window. Polly doesn't see the bird fly into the room.;mop
Uma is in a room full of toys. Uma wants to find an easy pin to play with. The pin is in the big toy box. The lights in the room turn off and then on again. Uma doesn't see the lights turn off and then on again.;Pin
Olivia is in a field full of giant flowers. Olivia wants to find the most beautiful giant flower to take a picture of it. There is a persistent bee buzzing around one of the giant flowers. A bird flies over and lands on a nearby tree. Olivia doesn't see the bird land on the tree.;Bee
