Tim was in the kitchen, ready to make lunch. Tim wanted to make a big bowl of pasta. The pasta box was full. A bird flies into the kitchen through the open window. Tim starts boiling water to cook the pasta.;pasta box
Fiona was at the park with her friends. They wanted to play a game of soccer. The ball they had was clean and shiny. A squirrel runs across the field. Fiona plans to kick the ball to score a goal.;Ball
Olivia was at the park, sitting on a bench. Olivia wanted to feed the ducks with her bag of bread. The bread was fresh and smelled good. A colorful butterfly lands on the bench next to Olivia. Olivia plans to start feeding the ducks with the bread.;Bread
Ina was at the park, sitting on a bench. Ina wanted to watch the birds play. A small, pink bird was awake on a tree branch. A dog runs past Ina, chasing a ball. Ina continues to watch the bird.;bird
John was at the park, sitting on a bench. John wanted to propose to his girlfriend and marry her. His ring box was in his cap. A butterfly lands on John's shoulder. John plans to propose to his girlfriend.;Cap
Jill was at the park, watching the kids play. She wanted to take a video of her son's first time on the swing. The camera was off. A butterfly lands on the swing next to Jill's son. Jill plans to turn on the camera and start recording.;Camera
Ben was at the ranch, looking after the animals. Ben wanted to ride his favorite horse. The saddle was not heavy. An unusual bird lands on the ranch fence. Ben plans to saddle up his horse for a ride.;Saddle
Vinny was in the gloomy hall of his school. He wanted to zoom around on his new roller skates. The hall was empty. The school bell rings loudly. Vinny starts to zoom around the hall on his skates.;hall
Fred was at a fun fair, excited to play games. Fred wanted to win a big teddy bear as a prize. The game machine was on. A clown starts performing nearby. Fred walks up to the machine to play the game.;game machine
Sam was at the beach, having a picnic. Sam wanted to visit his friend after eating his sandwich. The sandwich was tasty. A dog runs across the beach, chasing a ball. Sam starts eating his sandwich.;Sandwich
Quin was at the park with his friends. Quin wanted to show his friends he was brave. The park's gate was locked. A squirrel runs across the park. Quin plans to climb over the gate.;park's gate
Sam was in the park, near the big inflatable castle. Sam wanted to jump and play in the castle. The castle was big and inflated. A squirrel runs past Sam. Sam runs towards the castle to start playing.;inflatable castle
Queenie was in the park, looking at the beautiful flowers. Queenie wanted to pick a green leaf to make a print for her art project. The leaf she saw was fresh and green. A squirrel runs up a nearby tree. Queenie picks the leaf to make her print.;Leaf
Xander was in the park, playing with his friends. He wanted to build a big sand structure. The sand was wet and good for building. A butterfly lands on a nearby flower. Xander starts building the sand structure.;Sand
Bella was in the library, looking for a good book to read. Bella wanted to find an attractive book to read before her nap. The book shelf was full of books. A child drops a toy car near Bella. Bella selects a book from the shelf to read before her nap.;book shelf
Zara was at a birthday party. Zara wanted to give her friend a gift. The gift was securely wrapped. A clown arrives at the party. Zara plans to give her friend the gift.;gift
Dave was in a lively party at his friend's house. Dave wanted to go upstairs to get his coat. The door upstairs was unlocked. A dog starts barking loudly at the party. Dave starts walking towards the stairs to go upstairs.;upstairs door
Mabel was near a swamp, looking for frogs. Mabel wanted to catch a frog to show her friends. The swamp was still and quiet. A bird flies over the swamp. Mabel continues to search for frogs.;swamp
Xander was at the doctor's office for a check-up. Xander wanted to be a good patient and stay calm. The doctor's light switch was off. A cat walks into the doctor's office. Xander continues reading his book to stay calm.;Light switch
Ed was at a birthday party. Ed wanted to tell a funny joke to his friends. The juice jug was full. A piece of cake falls from the table. Ed starts to tell his joke to his friends.;Juice jug
Zara was in her garden, ready to plant some flowers. Zara wanted to dig holes with her spade. The spade was strong. A butterfly lands on a flower in Zara's garden. Zara starts to dig holes with her spade.;spade
Xena was at a party, dancing with her friends. Xena wanted to drink her yellow lemonade. The lemonade cup was full. A purple balloon pops at the party. Xena plans to take a sip of her lemonade.;Lemonade cup
Kira was in the park, playing with her friendly dog, Max. Kira wanted to throw a bright, plastic ball for Max to fetch. The ball was very bright. A squirrel runs across the park. Kira continues to play fetch with Max using the bright ball.;Plastic ball
Luke was in the forest, looking for wood to build a treehouse. Luke wanted to find a big, strong tree to cut. The saw was sharp. A squirrel runs past Luke. Luke starts cutting the tree with the saw.;saw
Amy was at the park, sitting on the bench. Amy wanted to play with her red balloon. The balloon was big and full of air. A dog starts barking loudly near Amy. Amy starts running around the park with the balloon.;Red balloon
Jack was at the park, having fun on his own. Jack wanted to hop on the big man statue in the park. The man statue smelled neutral. A dog runs across the park barking loudly. Jack continues practicing his hops to jump on the statue.;man statue
Jill was at a party with her friends. Jill wanted to tell a funny joke to make everyone laugh. Her friend, Tom, was awake and listening. A balloon pops loudly in the party. Jill starts telling her joke to Tom.;Tom
Bob was in a busy city, looking for a place to eat. Bob wanted to try a new food place. The food place was open. A street performer starts playing music nearby. Bob starts walking towards the food place.;Food place
Wendy was in the living room, doing her morning yoga. Wendy wanted to check her yoga poses in the mirror. The mirror was standing upright. The doorbell rings. Wendy continues her yoga, occasionally checking her poses in the mirror.;Mirror
Carl was in a park, playing soccer with his friends. Carl wanted to shoot the ball into the goal. The ball was on the ground. A squirrel runs up a tree nearby. Carl prepares to shoot the ball towards the goal.;Ball
Kira was in the forest, looking for wood to build a fire. Kira wanted to find a tree to cut down with her axe. The axe was sharp. A bird starts singing loudly in a tree nearby. Kira starts to cut down a tree with her axe.;Axe
Rita was in the library, looking for a good book to read. Rita wanted to find a book on the top shelf of the bookcase. The bookcase was organized and neat. A cat walks into the library. Rita starts to hurry to reach the top shelf to get the book.;Bookcase
Zara was in her room, cleaning up her toys. Zara wanted to put her teddy in its tidy toy trap. The toy trap was empty. A butterfly flies into the room through the open window. Zara plans to put her teddy in the toy trap.;toy trap
Ben was in the garden, sitting on a rock. Ben wanted to build a birdhouse. The bag of nails smelled like fresh metal. A butterfly lands on Ben's drawing. Ben starts to gather his tools to build the birdhouse.;bag of nails
Ed was at the park, ready to ride his scooter. Ed wanted to ride his scooter all around the park. The scooter was upright, ready to be ridden. A child starts flying a kite in the park. Ed is ready to hop on and start riding the scooter.;Scooter
Max was at an ice cream shop on a hot day. Max wanted to buy an expensive, sweet ice cream cone. The ice cream cone was cold. A mist starts to fall outside the ice cream shop. Max pays for the ice cream cone.;Ice cream cone
Xander was in the garden, admiring the flowers. Xander wanted to make a bouquet of smooth poppies for his mom. The poppies were sweet smelling. A butterfly lands on a nearby rose. Xander starts picking the poppies to make a bouquet.;poppies
Pia was at the park, ready to have a picnic. Pia wanted to eat her sandwich with cheese. The cheese was solid and cold. A butterfly lands on a flower near Pia. Pia starts eating her sandwich with the cheese still solid.;Cheese in the sandwich
Quinn was at the park, standing on a high bridge. Quinn wanted to drop a small toy figure into the river below. The figure was in his hand. A butterfly lands on the bridge railing. Quinn prepares to drop the figure into the river.;figure
Gabe was in the park, ready to fly his kite. Gabe wanted to let his kite fly high in the sky. The kite's string was tightly wound on the reel. A butterfly lands on a nearby flower. Gabe starts running to let his kite take flight.;Kite's string
Tanya was at the beach, sitting in her small hut. Tanya wanted to draw a picture of her hut on a big piece of paper. The paper was straight and smooth. A crab scuttles into the hut. Tanya starts sketching the hut on the paper.;paper
