Nala was in her room ready to sleep. Nala wants to have a good night's sleep without any nightmares. The door to Nala's room is locked. Her little brother manages to find the spare key and unlocks the door to her room. Nala doesn't hear her brother unlocking the door as she is listening to music on her headphones.;door to Nala's room
Hugo was in the park with his friends. Hugo wanted to win the kite flying contest. The string of Hugo's kite was strong. A raven flew by and pecked at the string, making it weak. Hugo doesn't see the raven pecking at his kite's string because he is looking at his friends.;string of Hugo's kite
Ravi was at the fish market. Ravi wanted to buy a fish for his mom to cook for dinner. The fish on the scale was heavy. The fishmonger removed the fish guts, making the fish on the scale lighter. Ravi does not see the fishmonger removing the fish guts because he was looking at another fish stall.;fish on the scale
Vito was at a birthday party. Vito wanted to give his friend a special gift. The gift was wrapped in a shiny paper. A distant cousin, who was also at the party, decided to play a prank and unwrapped the gift when no one was looking. Vito does not see the unwrapped gift because he is still playing games in the other room.;gift
Tim was in the kitchen, ready to make lunch. Tim wanted to make a big bowl of pasta. The pasta box was full. While Tim was busy cutting vegetables, his little sister came into the kitchen and took some pasta to play with. Tim does not see his sister leaving the kitchen with some pasta in her hand.;pasta box
Wendy was in the park, sitting on a bench. Wendy wanted to play a charming tune on her small flute. The flute was in her bag. A kind lady saw the flute, thought it had been left behind, and moved it to the lost and found box. Wendy doesn't see the kind lady moving her flute to the lost and found box because she is watching the birds.;Wendy's flute
Gigi was at the park with her friends. Gigi wanted to share her mints with her friends. The mint box was full of fat, healthy mints. A naughty squirrel sneaked up and nibbled on the mints making them sickly. Gigi doesn't see the squirrel nibbling on the mints because she is busy playing.;mint box
Remy was in the park playing with his colorful parrot. Remy wanted his parrot to learn a new trick. The parrot was sitting on a clear and open branch. Over time, leaves spread and grew on the branch, obscuring it. Remy doesn't notice the leaves spreading because he is too focused on his game.;the branch the parrot is sitting on
Pete was at the park, ready to eat his lunch. Pete wanted to enjoy his food while watching the birds. The food in Pete's lunch box was fresh and yummy. A naughty squirrel came and took a big bite out of Pete's sandwich. Pete doesn't see the squirrel taking a bite out of his sandwich because he is watching the birds.;food in Pete's lunch box
Quin was in the park with his gray paint and brush. Quin wanted to paint a big tree on a big balloon. The balloon was empty. A girl nearby had a pump and she filled the balloon with air. Quin doesn't see the girl filling the balloon with air as he is looking at his paint pots.;balloon
Yara was at a party with her friends. Yara wanted to sing her favorite song for everyone. The microphone was working fine. During the party, a guest accidentally spilled juice on the microphone, causing it to stop working. Yara does not see the guest spill juice on the microphone because she was in the restroom.;microphone
Sam was at the space station, waiting to travel back to Earth. Sam wants to return home to see his family. The spaceship's launch schedule was synchronized with Earth's rotation. Due to a different calculation made by the space station's computer, the spaceship's launch schedule became asynchronous with Earth's rotation. Sam doesn't see the updated launch schedule because he is busy securing his seatbelt.;spaceship's launch schedule
Ina was at the park, sitting on a gray bench. Ina wanted to solve the puzzle in her story book. The puzzle in the story book was hard. A kind old man, who was a puzzle master, saw the puzzle and solved it while Ina was away playing. Ina does not see the old man solving the puzzle as she is playing.;puzzle in the story book
Lenny was at the market to buy a smelly cheese. Lenny wanted to find the best smelly cheese for his mom. The cheese was very expensive. A man at the market dropped the cheese and it got a big rub mark on it. Lenny does not see the man drop the cheese because he was looking the other way.;cheese
Kip was at the mall looking at a beautiful painting. Kip wanted to buy the painting to put it in his room. The painting was very expensive. A big sale started and the price of the painting dropped a lot. Kip does not see the sale sign because he is still in the other store.;the painting at the mall
