Noor is making coffee at a busy shop. Noor wants to make a yummy coffee with oat milk for a person. Noor picks a milk jar and puts oat milk in it. Noor wants to make coffee with almond milk. A pretty cup falls from a shelf.;Does Noor think the milk jar has oat milk or almond milk?;Noor thinks the milk jar has oat milk.;Noor thinks the milk jar has almond milk.
Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. A gallery visitor accidentally spills a glass of water near the painting. Zara observes the water spill.;Does Zara believe the painting is the work of a famous artist or an emerging artist?;Zara believes the painting is the work of a famous artist.;Zara believes the painting is the work of an emerging artist.
Carlos is a farmer in a little place, watching his corn field. He wants to give water to his plants by opening a water door connected to a river nearby. Carlos closed the water door last night. A group of big birds comes to the corn field. Carlos sees the big birds in his field.;Does Carlos think the water door is closed or open?;Carlos thinks the water door is still closed.;Carlos thinks the water door is already open.
Kofi catches fish in a little place in Ghana. He wants to catch lots of fish today for his family and to sell some. Kofi fixed his fish net last night. A group of kids start to play a ball game near the water. Kofi sees the kids playing.;Does Kofi think his net is good or broken?;Kofi thinks his fish net is good.;Kofi thinks his fish net is broken.
Ravi is a farmer in a small place in India, looking after his mango trees. Ravi wants to pick ripe mangoes to sell them. He sees a mango tree with a big branch full of ripe mangoes. A pretty bird walks through the trees, showing its pretty feathers. Ravi sees the pretty bird walking through the trees.;Does Ravi think the branch has ripe mangoes or no ripe mangoes?;Ravi thinks the branch has ripe mangoes.;Ravi thinks the branch has no ripe mangoes.
Hana is a little girl who lives in a house with a big garden. Hana wants to play with her bouncy ball in the garden. She sees her bouncy ball in the corner, shiny and round. A butterfly lands on a flower in the garden. Hana sees the butterfly land on the flower.;Does Hana believe her bouncy ball is clean or dirty?;Hana believes her bouncy ball is clean.;Hana believes her bouncy ball is dirty.
Ina is a little girl who loves playing in her backyard. She wants to play with her red ball. Ina sees her ball in the backyard, clean and shiny. A butterfly lands on a flower in the backyard. Ina sees the butterfly on the flower.;Does Ina think her ball is clean or dirty?;Ina believes her ball is clean.;Ina believes her ball is dirty.
Zara is a little girl who loves drawing. Zara wants to draw a big, beautiful tree. She sees her box of colored pencils, sharp and ready to use. A bird lands on the window sill and starts singing. Zara hears the bird singing.;Does Zara believe her colored pencils are sharp or dull?;Zara believes her colored pencils are sharp.;Zara believes her colored pencils are dull.
Xavier is in his garden, looking at his big apple tree. He wants to pick the ripe apples from the tree. The apples look red and ready to eat. A butterfly lands on a flower nearby. Xavier sees the butterfly.;Does Xavier believe the apples are ripe and ready to eat or bruised?;Xavier believes the apples are ripe and ready to eat.;Xavier believes the apples are bruised.
Vicky is a small girl in a big house. She wants to draw a picture with her blue crayon. Vicky sees her crayon box on the table, full of crayons. A bird flies into the house through an open window. Vicky sees the bird flying into the house.;Does Vicky think her blue crayon is in the box or with her brother?;Vicky believes her blue crayon is still in the box.;Vicky believes her blue crayon is with her brother.
Emma is a little girl who loves to paint. Emma wants to paint a big, pretty picture for her mom. Emma sees her paint box with all the colors. A bird lands on the window sill and starts to sing. Emma hears the bird singing.;Does Emma believe her paint box has blue paint or no blue paint?;Emma believes her paint box has blue paint.;Emma believes her paint box has no blue paint.
Tanya is playing in her room with her teddy bear. Tanya wants to have a tea party with her teddy bear. She sees her toy teapot and it is full of pretend tea. Tanya's toy cat starts to play a song. Tanya hears the toy cat playing a song.;Does Tanya think the toy teapot is full of pretend tea or empty?;Tanya thinks the toy teapot is full of pretend tea.;Tanya thinks the toy teapot is empty.
Xander is a young boy who loves to read books. Xander wants to read his favorite book about dinosaurs. He sees his book on the table, new and untouched. A cat walks past the window, chasing a butterfly. Xander sees the cat chasing the butterfly.;Does Xander believe his book is untouched or wet and sticky?;Xander believes his book is untouched.;Xander believes his book is wet and sticky.
