Noor is making coffee at a busy shop. Noor wants to make a yummy coffee with oat milk for a person. Noor picks a milk jar and puts oat milk in it. Noor thinks the milk jar has oat milk. A work friend, who didn't hear what the person wanted, changes the oat milk in the jar with almond milk while Noor is doing something else.;Noor sees her friend change the milk.;Noor doesn't see her friend change the milk.;Noor opens the fridge again and grabs the oat milk.;Noor makes the coffee with the milk in the jar.;Does Noor think the milk jar has oat milk or almond milk?;Does Noor want to make coffee with oat milk or almond milk?;What will Noor do?;Noor thinks the milk jar has almond milk.;Noor wants to make coffee with oat milk.;Noor will open the fridge again, take out the oat milk, and swap out the almond milk.;Noor thinks the milk jar has oat milk.;Noor wants to make a coffee with oat milk.;Noor will make the coffee using the milk in the jar.;Noor wants to make coffee with almond milk.;A pretty cup falls from a shelf.;Noor sees the pretty cup fall from shelf.;Noor doesn't see the pretty cup fall from the shelf.;auto;0
Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. Zara believes that the painting is the work of a famous artist. A gallery staff member, realizing there was a mix-up, changes the label with the correct information attributing the painting to an emerging artist instead.;Zara reads the updated label carefully.;Zara does not read the updated label.;Zara looks for more information about the emerging artist.;Zara looks for more information about the famous artist.;Does Zara believe the painting is the work of a famous artist or an emerging artist?;Does Zara want to learn more about the painting and its artist?;What will Zara do?;Zara believes the painting is the work of an emerging artist.;Zara wants to learn more about the painting and its artist.;Zara will look for more information about the emerging artist.;Zara believes the painting is the work of a famous artist.;Zara wants to learn more about the painting and its artist.;Zara will look for more information about the famous artist.;A gallery visitor accidentally spills a glass of water near the painting.;Zara observes the water spill.;Zara does not observe the water spill.;auto;0
Carlos is a farmer in a little place, watching his corn field. He wants to give water to his plants by opening a water door connected to a river nearby. Carlos closed the water door last night. Carlos thinks the water door is closed now. At night, a big rain makes the river too full, opens the water door and puts too much water in the corn field.;Carlos sees the field full of water.;Carlos doesn't see the field full of water.;Carlos phones his friend to ask if they can close the water door.;Carlos phones his friend to ask if they can open the water door.;Does Carlos think the water door is closed or open?;Does Carlos want to open the water door to give water to his plants or close it because too much water is there?;What will Carlos do?;Carlos thinks the water door is already open.;Carlos wants to close the door because there's too much water.;Carlos will phone his friend to ask if they can close the water door.;Carlos thinks the water door is still closed.;Carlos wants to open the door to give water to his plants.;Carlos will phone his friend to ask if they can open the water door.;A group of big birds comes to the corn field.;Carlos sees the big birds in his field.;Carlos doesn't see the big birds in his field.;auto;0
Kofi catches fish in a little place in Ghana. He wants to catch lots of fish today for his family and to sell some. Kofi fixed his fish net last night. Kofi thinks his fish net is good now. When Kofi is not near his boat, some monkeys come and play with the fish net, breaking it.;Kofi sees the monkeys breaking his net.;Kofi doesn't see the monkeys breaking his net.;Kofi buys new fixing stuff to fix the fish net.;Kofi goes to catch fish with his net.;Does Kofi think his net is good or broken?;Does Kofi want to catch fish with a net that's good or broken?;What will Kofi do?;Kofi thinks his fish net is broken.;Kofi wants to catch fish with a net that's good.;Kofi will buy new fixing stuff to fix the fish net.;Kofi thinks his fish net is good.;Kofi wants to catch fish with a net that's good.;Kofi will use his net to catch fish.;A group of kids start to play a ball game near the water.;Kofi sees the kids playing.;Kofi doesn't see the kids playing.;auto;0
Ravi is a farmer in a small place in India, looking after his mango trees. Ravi wants to pick ripe mangoes to sell them. He sees a mango tree with a big branch full of ripe mangoes. Ravi thinks the branch has ripe mangoes to pick. A naughty monkey comes and eats all the ripe mangoes from the branch while Ravi is getting his picking tools.;Ravi sees the monkey eating ripe mangoes.;Ravi doesn't see the monkey eating ripe mangoes.;Ravi looks for another tree with ripe mangoes.;Ravi gets ready to pick ripe mangoes from the branch.;Does Ravi think the branch has ripe mangoes or no ripe mangoes?;Does Ravi want to pick ripe mangoes or look for another tree with ripe mangoes?;What will Ravi do?;Ravi thinks the branch has no ripe mangoes.;Ravi wants to look for another tree with ripe mangoes.;Ravi will look for another tree with ripe mangoes.;Ravi thinks the branch has ripe mangoes.;Ravi wants to pick ripe mangoes.;Ravi will pick ripe mangoes from the branch.;A pretty bird walks through the trees, showing its pretty feathers.;Ravi sees the pretty bird walking through the trees.;Ravi doesn't see the pretty bird walking through the trees.;auto;0
Hana is a little girl who lives in a house with a big garden. Hana wants to play with her bouncy ball in the garden. She sees her bouncy ball in the corner, shiny and round. Hana believes her bouncy ball is ready to play with. A gust of wind comes and blows the bouncy ball into a muddy puddle, making it dirty.;Hana sees her bouncy ball get blown into the muddy puddle.;Hana doesn't see her bouncy ball get blown into the muddy puddle.;Hana goes inside to get a cloth to clean her bouncy ball.;Hana goes to the corner to pick up her bouncy ball.;Does Hana believe her bouncy ball is clean or dirty?;Does Hana want to play with a clean bouncy ball or a dirty bouncy ball?;What will Hana do?;Hana believes her bouncy ball is dirty.;Hana wants to play with a clean bouncy ball.;Hana will go inside to get a cloth to clean her bouncy ball.;Hana believes her bouncy ball is clean.;Hana wants to play with a clean bouncy ball.;Hana will go to the corner to pick up her bouncy ball.;A butterfly lands on a flower in the garden.;Hana sees the butterfly land on the flower.;Hana doesn't see the butterfly land on the flower.;auto;0
Ina is a little girl who loves playing in her backyard. She wants to play with her red ball. Ina sees her ball in the backyard, clean and shiny. Ina believes her ball is clean. Suddenly, a big dog from the neighborhood runs into the backyard and gets the ball all dirty with mud.;Ina sees the dog making her ball dirty.;Ina doesn't see the dog making her ball dirty.;Ina goes to get a bucket of water and soap to clean her ball.;Ina runs to the backyard to play with her ball.;Does Ina think her ball is clean or dirty?;Does Ina want to play with a clean ball or clean a dirty ball?;What will Ina do?;Ina believes her ball is dirty.;Ina wants to clean her ball.;Ina will get a bucket of water and soap to clean her ball.;Ina believes her ball is clean.;Ina wants to play with her ball.;Ina will run to the backyard to play with her ball.;A butterfly lands on a flower in the backyard.;Ina sees the butterfly on the flower.;Ina doesn't see the butterfly on the flower.;auto;0
Zara is a little girl who loves drawing. Zara wants to draw a big, beautiful tree. She sees her box of colored pencils, sharp and ready to use. Zara believes her colored pencils are ready for drawing. Suddenly, her little brother comes and takes the box to the other room, leaving the pencils scattered and dull.;Zara sees her little brother scatter her colored pencils.;Zara doesn't see her little brother scatter her colored pencils.;Zara goes to find her pencil sharpener to sharpen her colored pencils.;Zara gets ready to draw with her colored pencils.;Does Zara believe her colored pencils are sharp or dull?;Does Zara want to draw with sharp colored pencils or sharpen dull colored pencils?;What will Zara do?;Zara believes her colored pencils are dull.;Zara wants to sharpen her colored pencils.;Zara will find her pencil sharpener to sharpen her colored pencils.;Zara believes her colored pencils are sharp.;Zara wants to draw with her colored pencils.;Zara will start to draw with her colored pencils.;A bird lands on the window sill and starts singing.;Zara hears the bird singing.;Zara doesn't hear the bird singing.;auto;0
Xavier is in his garden, looking at his big apple tree. He wants to pick the ripe apples from the tree. The apples look red and ready to eat. Xavier thinks the apples are ripe and ready to eat. Suddenly, a strong wind blows and shakes the tree, causing the apples to fall and get bruised.;Xavier sees the apples falling.;Xavier doesn't see the apples falling.;Xavier thinks about making apple sauce with the bruised apples.;Xavier plans to pick the ripe apples from the tree.;Does Xavier believe the apples are ripe and ready to eat or bruised?;Does Xavier want to pick the apples or make apple sauce?;What will Xavier do next?;Xavier believes the apples are bruised.;Xavier wants to make apple sauce with the bruised apples.;Xavier will start making apple sauce.;Xavier believes the apples are ripe and ready to eat.;Xavier wants to pick the ripe apples.;Xavier will pick the ripe apples from the tree.;A butterfly lands on a flower nearby.;Xavier sees the butterfly.;Xavier doesn't see the butterfly.;auto;0
Vicky is a small girl in a big house. She wants to draw a picture with her blue crayon. Vicky sees her crayon box on the table, full of crayons. Vicky believes her blue crayon is in the box. Suddenly, her little brother takes the blue crayon and runs away with it.;Vicky sees her brother taking the blue crayon.;Vicky doesn't see her brother taking the blue crayon.;Vicky runs after her brother to get the blue crayon back.;Vicky walks to the table to get her blue crayon.;Does Vicky think her blue crayon is in the box or with her brother?;Does Vicky want to get her blue crayon from the box or from her brother?;What will Vicky do?;Vicky believes her blue crayon is with her brother.;Vicky wants to get her blue crayon back from her brother.;Vicky will run after her brother to get the blue crayon back.;Vicky believes her blue crayon is still in the box.;Vicky wants to get her blue crayon from the box.;Vicky will walk to the table to get her blue crayon.;A bird flies into the house through an open window.;Vicky sees the bird flying into the house.;Vicky doesn't see the bird flying into the house.;auto;0
Emma is a little girl who loves to paint. Emma wants to paint a big, pretty picture for her mom. Emma sees her paint box with all the colors. Emma believes her paint box has all the colors she needs. But while Emma is not looking, her little brother Eddie takes the blue paint to color his toy car.;Emma sees Eddie take the blue paint.;Emma doesn't see Eddie take the blue paint.;Emma asks her dad for more blue paint.;Emma starts to paint her picture.;Does Emma believe her paint box has blue paint or no blue paint?;Does Emma want to paint with a paint box that has blue paint or no blue paint?;What will Emma do?;Emma believes her paint box has no blue paint.;Emma wants to paint with a paint box that has blue paint.;Emma will ask her dad for more blue paint.;Emma believes her paint box has blue paint.;Emma wants to paint with a paint box that has blue paint.;Emma will start to paint her picture.;A bird lands on the window sill and starts to sing.;Emma hears the bird singing.;Emma doesn't hear the bird singing.;auto;0
