Tim was in the kitchen, ready to make lunch. Tim wanted to make a big bowl of pasta. The pasta box was full. While Tim was busy cutting vegetables, his little sister came into the kitchen and took some pasta to play with. Tim sees his sister leaving the kitchen with some pasta in her hand.;Does Tim think the pasta box is full or not?;Tim believes the pasta box is not full.;Tim believes the pasta box is full.;pasta box
Molly was in the garden, building a birdhouse. Molly wanted to use the pile of lumber to make the birdhouse. The lumber was rough. As she was clumsily looking for her hammer, her dad came and started sanding the lumber, making it smooth. Molly sees her dad sanding the lumber.;Does Molly think the lumber is smooth or rough?;Molly believes the lumber is smooth.;Molly believes the lumber is rough.;lumber
Rob was at the toy store, looking for a gift. Rob wanted to buy an amazing toy car that he saw in a package. The package was full of toy cars. While Rob was busy choosing a gift wrap, the shopkeeper opened the package to take out a toy car for another customer. Rob sees the shopkeeper opening the package.;Does Rob think the package is full or not?;Rob believes the package is not full.;Rob believes the package is full.;package
Henry was at the circus, watching the impressive clown show. Henry wanted to get the clown's autograph. The clown was in the big top. As Henry was busy buying a hot dog, the clown left the big top to bathe before the next show. Henry sees the clown leaving the big top.;Does Henry think the clown is in the big top or near his trailer?;Henry believes the clown is near his trailer.;Henry believes the clown is in the big top.;clown
Yara was in the park, ready to play a game of baseball. Yara wanted to put her baseball in her bag. The baseball was dirty. While Yara was busy tying her shoelaces, a kind passerby picked up the baseball and cleaned it. Yara sees the passerby cleaning the baseball.;Does Yara think the baseball is clean or dirty?;Yara believes the baseball is clean.;Yara believes the baseball is dirty.;baseball
Mary was at the library, looking for a book to read. Mary wanted to find a mystery book from an unknown author that was kept in a special case. The case was locked. While Mary was busy asking the librarian for the key, a janitor opened the case to clean it. Mary sees the janitor opening the case.;Does Mary think the case is locked or open?;Mary believes the case is open.;Mary believes the case is locked.;Case
Fred was at the ranch, taking care of the horses. Fred wanted to rescue a dry hay bale to feed the horses. The hay bale was big and heavy. While Fred was busy cleaning the stables, a worker came and started breaking the hay bale into smaller pieces to make it easier to handle. Fred sees the worker breaking the hay bale.;Does Fred think the hay bale is big and heavy or broken into smaller pieces?;Fred believes the hay bale is broken into smaller pieces.;Fred believes the hay bale is big and heavy.;hay bale
Yara was at the science fair, standing near her project. Yara wanted to demonstrate how her oxygen machine worked. The oxygen machine was off. While Yara was busy explaining her project to the judges, her friend accidentally turned the machine on. Yara hears the noisy machine starting.;Does Yara think the oxygen machine is on or off?;Yara believes the oxygen machine is on.;Yara believes the oxygen machine is off.;oxygen machine
Ethan was in a museum, looking at a wild Viking shield. Ethan wanted to sketch the shield for his art project. The shield was hanging on the wall. While Ethan was busy sketching, a museum worker moved the shield to a display case for better protection. Ethan sees the museum worker moving the shield.;Does Ethan think the shield is hanging on the wall or in the display case?;Ethan believes the shield is in the display case.;Ethan believes the shield is hanging on the wall.;shield
Fred was at the beach, trying to find shells. Fred wanted to show his friends a special shell that he found. The shell was blue. While Fred was busy crawling on the beach looking for more shells, a child with a bucket of paint accidentally spilled some yellow paint on the shell, turning it yellow. Fred sees the child spilling paint on his shell.;Does Fred think the shell is blue or yellow?;Fred believes the shell is yellow.;Fred believes the shell is blue.;shell
