Noor is making coffee at a busy shop. Noor wants to make a yummy coffee with oat milk for a person. Noor picks a milk jar and puts oat milk in it. Noor thinks the milk jar has oat milk. Noor wants to make coffee with almond milk. A pretty cup falls from a shelf.;Does Noor think the milk jar has oat milk or almond milk?;Noor thinks the milk jar has oat milk.;Noor thinks the milk jar has almond milk.
Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. Zara believes that the painting is the work of a famous artist. A gallery visitor accidentally spills a glass of water near the painting. Zara observes the water spill.;Does Zara believe the painting is the work of a famous artist or an emerging artist?;Zara believes the painting is the work of a famous artist.;Zara believes the painting is the work of an emerging artist.
Carlos is a farmer in a little place, watching his corn field. He wants to give water to his plants by opening a water door connected to a river nearby. Carlos closed the water door last night. Carlos thinks the water door is closed now. A group of big birds comes to the corn field. Carlos sees the big birds in his field.;Does Carlos think the water door is closed or open?;Carlos thinks the water door is still closed.;Carlos thinks the water door is already open.
Sam is playing in his room with his toy train. Sam wants to make his toy train move fast on the track. Sam sees the train's battery light is on. Sam thinks the train's battery is full. Sam's mom calls him for lunch. Sam hears his mom calling him.;Does Sam believe the train's battery is full or empty?;Sam believes the train's battery is full.;Sam believes the train's battery is empty.
Henry is in the kitchen, getting ready for a tea party with his teddy bears. He wants to make a cup of tea for each of his teddy bears. Henry sees that the tea pot is full. He believes the tea pot is full. The phone in the kitchen starts ringing. Henry hears the phone ringing.;Does Henry believe the tea pot is full or empty?;Henry believes the tea pot is full.;Henry believes the tea pot is empty.
Lily is in her garden, looking at her apple tree. She wants to pick some apples to make a pie. Lily sees that the apples on the tree are big and red. Lily thinks the apples are ripe and ready to be picked. A cat runs across the garden. Lily sees the cat running.;Does Lily believe the apples are on the tree or on the ground?;Lily believes the apples are on the tree.;Lily believes the apples are on the ground.
Fred is in his backyard with his dog, Spot. Fred wants to play a game of fetch with Spot. He sees his red ball is clean and ready to play with. Fred believes the red ball is clean. A squirrel runs across the yard. Fred sees the squirrel.;Does Fred believe the ball is clean or dirty?;Fred believes the ball is clean.;Fred believes the ball is dirty.
Luke is in his room, ready to paint a picture. Luke wants to paint a bright sun with yellow paint. Luke sees that the yellow paint jar is full. Luke thinks the yellow paint jar is full. A bird flies past Luke's window. Luke sees the bird flying past his window.;Does Luke believe the yellow paint jar is full or empty?;Luke believes the yellow paint jar is full.;Luke believes the yellow paint jar is empty.
Emma is in the park, ready to play with her red ball. She wants to kick the ball into the goal. Emma sees that the ball is full of air. Emma thinks the ball is full of air. A butterfly lands on a flower near Emma. Emma sees the butterfly.;Does Emma believe the ball is full of air or has no air?;Emma believes the ball is full of air.;Emma believes the ball has no air.
Rita is in her room, playing with her favorite doll. She wants to dress up her doll for a pretend tea party. Rita sees that the doll's dress is clean and pretty. She believes the doll's dress is clean and ready to be worn. A bird flies by the window. Rita sees the bird.;Does Rita believe the doll's dress is clean or stained?;Rita believes the doll's dress is clean.;Rita believes the doll's dress is stained.
