Nala was in her room ready to sleep. Nala wants to have a good night's sleep without any nightmares. The door to Nala's room is locked. A purple butterfly flies into the room through the open window. Nala doesn't see the purple butterfly.;What will Nala do next?;Nala will turn off the light and lie down to sleep.;Nala will tell her brother to leave and lock the door again.;door to Nala's room
Hugo was in the park with his friends. Hugo wanted to win the kite flying contest. The string of Hugo's kite was strong. A squirrel runs by with a nut in its mouth. Hugo doesn't see the squirrel.;What will Hugo do next?;Hugo will get ready to fly his kite high in the sky.;Hugo will change the string of his kite.;string of Hugo's kite
Ravi was at the fish market. Ravi wanted to buy a fish for his mom to cook for dinner. The fish on the scale was heavy. A scared cat runs through the fish market. Ravi doesn't see the scared cat.;What is Ravi going to do next?;Ravi will ask the fishmonger to help him carry the fish to his car.;Ravi will buy the lighter fish.;fish on the scale
Vito was at a birthday party. Vito wanted to give his friend a special gift. The gift was wrapped in a shiny paper. A clown comes into the room to perform a magic show. Vito doesn't see the clown because he is still in the other room.;What will Vito do next?;Vito will give the gift to his friend.;Vito will find another gift wrap to cover the gift again.;gift
Tim was in the kitchen, ready to make lunch. Tim wanted to make a big bowl of pasta. The pasta box was full. A bird flies into the kitchen through the open window. Tim does not see the bird.;What will Tim do next?;Tim will start boiling water to cook the pasta.;Tim will ask his sister to return the pasta.;pasta box
Wendy was in the park, sitting on a bench. Wendy wanted to play a charming tune on her small flute. The flute was in her bag. A squirrel runs up a tree nearby. Wendy doesn't see the squirrel.;What will Wendy do next?;Wendy will reach into her bag to get her flute.;Wendy will go to the lost and found box to get her flute.;Wendy's flute
Gigi was at the park with her friends. Gigi wanted to share her mints with her friends. The mint box was full of fat, healthy mints. A rainbow appears in the sky. Gigi doesn't see the rainbow.;What will Gigi do next?;Gigi will share the mints with her friends.;Gigi will keep the mints and not share them.;mint box
Remy was in the park playing with his colorful parrot. Remy wanted his parrot to learn a new trick. The parrot was sitting on a clear and open branch. A squirrel runs across the park. Remy doesn't see the squirrel because he is too focused on his game.;What will Remy do next?;Remy will continue teaching his parrot the new trick.;Remy will move his parrot to a different branch.;the branch the parrot is sitting on
Pete was at the park, ready to eat his lunch. Pete wanted to enjoy his food while watching the birds. The food in Pete's lunch box was fresh and yummy. A patient dog sits down next to Pete, watching him. Pete doesn't see the patient dog.;What will Pete do next?;Pete will take a bite of his sandwich, enjoying the fresh taste.;Pete will squeeze the rest of his sandwich into a ball and throw it to the squirrel.;food in Pete's lunch box
Quin was in the park with his gray paint and brush. Quin wanted to paint a big tree on a big balloon. The balloon was empty. A squirrel runs past Quin, carrying a nut. Quin doesn't see the squirrel.;What will Quin do next?;Quin will dip his brush into the gray paint and start painting the tree.;Quin will wait for the balloon to be stable before he starts painting.;balloon
Yara was at a party with her friends. Yara wanted to sing her favorite song for everyone. The microphone was working fine. A dog runs into the party and starts to play with the balloons. Yara doesn't see the dog playing with the balloons.;What will Yara do next?;Yara will pick up the microphone and start to sing.;Yara will wipe the juice off the microphone and try to fix it.;microphone
Sam was at the space station, waiting to travel back to Earth. Sam wants to return home to see his family. The spaceship's launch schedule was synchronized with Earth's rotation. A shooting star passes by the space station. Sam doesn't see the shooting star.;What will Sam do next?;Sam will continue with his preparation and get ready to travel back to Earth.;Sam will adjust his plan and wait for the next synchronized launch window.;spaceship's launch schedule
Ina was at the park, sitting on a gray bench. Ina wanted to solve the puzzle in her story book. The puzzle in the story book was hard. A squirrel runs across the park. Ina doesn't see the squirrel.;What will Ina do next?;Ina will take a break and try to solve the puzzle later.;Ina will thank the old man and ask him to teach her how he solved the puzzle.;puzzle in the story book
Lenny was at the market to buy a smelly cheese. Lenny wanted to find the best smelly cheese for his mom. The cheese was very expensive. A juggler starts performing in the middle of the market. Lenny does not see the juggler.;What will Lenny do next?;Lenny will save up more money to buy the cheese next time.;Lenny will ask for a discount because the cheese is damaged.;cheese
Kip was at the mall looking at a beautiful painting. Kip wanted to buy the painting to put it in his room. The painting was very expensive. A clown starts to make balloon animals near the painting. Kip doesn't see the clown because he is still in the other store.;What will Kip do next?;Kip will decide to save more money before buying the painting.;Kip will rush to buy the painting before anyone else does.;the painting at the mall
Jake was in the kitchen ready to make dinner. Jake wanted to make a big salad with all the fresh groceries he bought. The knife he uses to cut veggies was very sharp. A reliable old friend calls Jake on the phone. Jake doesn't hear the phone ringing because he's busy in the kitchen.;What will Jake do next?;Jake will start cutting the veggies to make the salad.;Jake will sharpen the knife before continuing.;knife
Yara was in the kitchen making a sandwich. Yara wanted to find the peanut butter in the cupboard to spread on her bread. The cupboard door was flat and straight. A parrot flies into the kitchen through the open window. Yara doesn't see the parrot.;What will Yara do next?;Yara will open the cupboard door to find the peanut butter.;Yara will call a carpenter to fix the warped cupboard door.;cupboard door
Dora was at the library looking for a fun book to read. Dora wants to find a book that will make her laugh. The book Dora wants is on the top shelf. The lights in the library start to glow brighter. Dora doesn't notice the lights glowing brighter.;What will Dora do next?;Dora will ask the librarian to help her get the book from the top shelf.;Dora will pick up the book from the floor.;the book Dora wants
Xander was in the forest, looking for deer. Xander wanted to find a deer to take a picture. The deer was hidden in the bushes. A comfortable breeze blows through the forest. Xander doesn't feel the comfortable breeze because he is focused on his camera.;What will Xander do next?;Xander will sit and wait for the deer to come out.;Xander will quickly take a picture of the deer.;deer in the bushes
Remy was at the park playing with his toy car. Remy wants to stay at the park until the sun goes down. The toy car was fully charged. A flock of birds suddenly flies over the park. Remy doesn't see the flock of birds.;What will Remy do next?;Remy will continue to play with his toy car in the park.;Remy will take his toy car back home and charge it.;toy car
Ed was at the airport waiting for his flight. Ed wanted to finish his book before his flight. The bottle of water Ed had was full. A weird noise sounds from the airport speakers. Ed doesn't hear the weird noise because he is too engrossed in his book.;What will Ed do next?;Ed will take a sip of water and continue reading his book.;Ed will try to find a place to refill his bottle.;Ed's bottle of water
Caden was at the park playing with his friends. Caden wanted to show his friends his new toy lizard. The toy lizard was clean and shiny. A butterfly lands on a flower near Caden. Caden doesn't see the butterfly.;What will Caden do next?;Caden will keep playing with his toy lizard.;Caden will clean his toy lizard.;toy lizard
Tilly was in the park, sitting on a bench. Tilly wanted to feed the humble rat that visited her every day. The rat was in its hole, not coming out. A group of children start playing football near the bench. Tilly doesn't see the children playing football.;What will Tilly do next?;Tilly will break a piece of her sandwich to feed the rat.;Tilly will shoo the cat away.;the rat
Fergus was at the park playing fetch with his dog. Fergus wants to get his dog to fetch a long stick. The stick was lying on the ground. A squirrel scurries up a tree nearby. Fergus doesn't see the squirrel.;What will Fergus do next?;Fergus will throw the stick for his dog to fetch.;Fergus will get a new stick for his dog.;stick
Gabe was at the park with his lovely new cart. Gabe wanted to decorate his cart with shiny stickers. The cart was clean and ready for decoration. A squirrel scurries up a nearby tree. Gabe doesn't see the squirrel.;What will Gabe do next?;Gabe will start to decorate his cart with shiny stickers.;Gabe will clean his cart before decorating it.;gabe's cart
Darius was in his art class, drawing his favorite tree. Darius wanted to make his tree look real with brown ink. The ink bottle on Darius's table was full. A gust of wind blows Darius's drawing off the table. Darius doesn't see his drawing being blown off the table.;What will Darius do next?;Darius will dip his brush into the ink bottle and continue with his drawing.;Darius will ask his teacher for more ink.;ink bottle on Darius's table
Kiki was at the beach with her metal detector. Kiki wanted to collect any gold she could find. The sand was cool and undisturbed. A seagull lands near Kiki. Kiki doesn't see the seagull.;What will Kiki do next?;Kiki will continue to scan the sand with her metal detector.;Kiki will move to a quieter part of the beach.;the sand
Xander was in the kitchen making breakfast. Xander wanted to make a good omelette for his mom. The egg in the pan was not cooked yet. A small cactus on the window sill falls over. Xander doesn't see the cactus fall over.;What will Xander do next?;Xander will flip the egg.;Xander will work on fixing the stove.;egg in the pan
Yara was at a factory on a tour with her school friends. Yara wants to learn about how ice cream is made. The ice cream mix in the big vat was thick and creamy. A factory worker drops a box of ice cream cones. Yara doesn't see the factory worker drop the box of cones.;What will Yara do next?;Yara will continue to listen and learn about the process.;Yara will ask about the special ingredient.;ice cream mix in the vat
Sam was in the kitchen making a cake. Sam wanted to wash his hands before he started to bake. The sink in the kitchen was clean. A fair, golden cat walks into the kitchen. Sam doesn't see the golden cat.;What will Sam do next?;Sam will wash his hands in the sink.;Sam will clean the sink.;kitchen sink
Adam was in his lab working on his science project. Adam wanted to finish his project before the end of the day. The lab clock was synchronized with the school's main clock. A bird flies into the lab through an open window. Adam doesn't see the bird because he is focused on his project.;What will Adam do next?;Adam will continue working on his project, relying on the lab clock to keep track of time.;Adam will ask the janitor to plug the clock back in.;lab clock
Ollie was in the kitchen ready to make dinner. Ollie wanted to cut some veggies for a fine soup. The knife was sharp and ready to use. A song about a journey starts playing on the radio. Ollie doesn't hear the song because he is focused on his cooking.;What will Ollie do next?;Ollie will continue to cut the veggies for his soup.;Ollie will sharpen the knife before continuing his cooking.;knife
