Hugo was in the park with his friends. Hugo wanted to win the kite flying contest. The string of Hugo's kite was strong. Hugo believed the string of his kite was strong. A raven flew by and pecked at the string, making it weak. Hugo sees the raven pecking at his kite's string.;Does Hugo think the string of his kite is strong or weak?;Hugo believes the string of his kite is weak.;Hugo believes the string of his kite is strong.;string of Hugo's kite
Ravi was at the fish market. Ravi wanted to buy a fish for his mom to cook for dinner. The fish on the scale was heavy. Ravi believed the fish on the scale was heavy. The fishmonger removed the fish guts, making the fish on the scale lighter. Ravi sees the fishmonger removing the fish guts.;Does Ravi believe the fish on the scale is heavy or light?;Ravi believes the fish on the scale is light.;Ravi believes the fish on the scale is heavy.;fish on the scale
Vito was at a birthday party. Vito wanted to give his friend a special gift. The gift was wrapped in a shiny paper. Vito thought the gift was wrapped in a shiny paper. A distant cousin, who was also at the party, decided to play a prank and unwrapped the gift when no one was looking. Vito sees the unwrapped gift when he returns.;Does Vito think the gift is wrapped or unwrapped?;Vito believes the gift is unwrapped.;Vito believes the gift is wrapped.;gift
Tim was in the kitchen, ready to make lunch. Tim wanted to make a big bowl of pasta. The pasta box was full. Tim believed the pasta box was full. While Tim was busy cutting vegetables, his little sister came into the kitchen and took some pasta to play with. Tim sees his sister leaving the kitchen with some pasta in her hand.;Does Tim think the pasta box is full or not?;Tim believes the pasta box is not full.;Tim believes the pasta box is full.;pasta box
Gigi was at the park with her friends. Gigi wanted to share her mints with her friends. The mint box was full of fat, healthy mints. Gigi believed the mint box was full of fat, healthy mints. A naughty squirrel sneaked up and nibbled on the mints making them sickly. Gigi sees the squirrel nibbling on the mints.;Does Gigi think the mints in the box are fat and healthy or nibbled and sickly?;Gigi believes the mints in the box are nibbled and sickly.;Gigi believes the mints in the box are fat and healthy.;mint box
Remy was in the park playing with his colorful parrot. Remy wanted his parrot to learn a new trick. The parrot was sitting on a clear and open branch. Remy believed his parrot was sitting on a clear and open branch. Over time, leaves spread and grew on the branch, obscuring it. Remy notices the leaves spreading on the branch.;Does Remy think his parrot is sitting on a clear and open branch or an obscured branch?;Remy believes his parrot is sitting on an obscured branch.;Remy believes his parrot is sitting on a clear and open branch.;the branch the parrot is sitting on
Pete was at the park, ready to eat his lunch. Pete wanted to enjoy his food while watching the birds. The food in Pete's lunch box was fresh and yummy. Pete believed his food was fresh and yummy. A naughty squirrel came and took a big bite out of Pete's sandwich. Pete sees the squirrel taking a bite out of his sandwich.;Does Pete think his food is fresh and yummy or bitten by a squirrel?;Pete believes his food has been bitten by a squirrel.;Pete believes his food is fresh and yummy.;food in Pete's lunch box
Yara was at a party with her friends. Yara wanted to sing her favorite song for everyone. The microphone was working fine. Yara believed the microphone was working fine. During the party, a guest accidentally spilled juice on the microphone, causing it to stop working. Yara sees the guest spill juice on the microphone.;Does Yara think the microphone is working fine or has stopped working?;Yara believes the microphone has stopped working.;Yara believes the microphone is working fine.;microphone
Sam was at the space station, waiting to travel back to Earth. Sam wants to return home to see his family. The spaceship's launch schedule was synchronized with Earth's rotation. Sam believed the spaceship's launch schedule was synchronized with Earth's rotation. Due to a different calculation made by the space station's computer, the spaceship's launch schedule became asynchronous with Earth's rotation. Sam sees the updated launch schedule on the spaceship's control panel.;Does Sam believe the spaceship's launch schedule is synchronized or asynchronous with Earth's rotation?;Sam believes the spaceship's launch schedule is asynchronous with Earth's rotation.;Sam believes the spaceship's launch schedule is synchronized with Earth's rotation.;spaceship's launch schedule
Lenny was at the market to buy a smelly cheese. Lenny wanted to find the best smelly cheese for his mom. The cheese was very expensive. Lenny believed the cheese was very expensive. A man at the market dropped the cheese and it got a big rub mark on it. Lenny sees the man drop the cheese.;Does Lenny think the cheese is expensive or damaged and therefore less expensive?;Lenny believes the cheese is damaged and therefore less expensive.;Lenny believes the cheese is very expensive.;cheese
