Noor is making coffee at a busy shop. Noor wants to make a yummy coffee with oat milk for a person. Noor picks a milk jar and puts oat milk in it.;Does Noor think the milk jar has oat milk or almond milk?;Noor thinks the milk jar has almond milk.;Noor thinks the milk jar has oat milk.
Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully.;Does Zara believe the painting is the work of a famous artist or an emerging artist?;Zara believes the painting is the work of an emerging artist.;Zara believes the painting is the work of a famous artist.
Carlos is a farmer in a little place, watching his corn field. He wants to give water to his plants by opening a water door connected to a river nearby. Carlos closed the water door last night.;Does Carlos think the water door is closed or open?;Carlos thinks the water door is already open.;Carlos thinks the water door is still closed.
Nia is in her room with her big toy cabinet. Nia wants to take out her doll to play with it. The cabinet door is shut tight.;Does Nia think the cabinet door is shut or open?;Nia thinks the cabinet door is open.;Nia thinks the cabinet door is shut.
Ugo is in his house with his small pet dog, Spot. Ugo wants to give Spot a new toy to play with. The toy is on the high shelf in the kitchen.;Does Ugo think the toy is on the high shelf or on the floor?;Ugo thinks the toy is on the floor.;Ugo thinks the toy is still on the high shelf.
Harry is at the beach with his red ball. Harry wants to play catch with the ball in the ocean. The ball is dry and ready for play.;Does Harry think the ball is dry or wet?;Harry thinks the ball is wet.;Harry thinks the ball is dry.
Umi is in her garden with her big, green plant. Umi wants to water the plant because it is a hot day. The plant is dry and needs water.;Does Umi think the plant is dry or wet?;Umi thinks the plant is wet.;Umi thinks the plant is dry.
Gracie is in her room with a big box of toys. Gracie wants to play with her favorite doll. The doll is in the box with all the other toys.;Does Gracie think her doll is in the toy box or not in the toy box?;Gracie thinks her doll is not in the toy box.;Gracie thinks her doll is still in the toy box.
Oliver is in the park with his friendly cat, Mittens. Oliver wants to warn Mittens not to climb the tall tree. The tree is very tall and scary.;Does Oliver believe the tree is very tall and scary or less tall and less scary?;Oliver believes the tree is less tall and less scary.;Oliver believes the tree is very tall and scary.
Annie is at the park with her kite. Annie wants to fly her kite in the sky. The kite is on the ground and ready to fly.;Does Annie think the kite is on the ground or in the sky?;Annie thinks the kite is in the sky.;Annie thinks the kite is on the ground.
