Noor is making coffee at a busy shop. Noor wants to make a yummy coffee with oat milk for a person. Noor picks a milk jar and puts oat milk in it. Noor thinks the milk jar has oat milk. Noor wants to make coffee with almond milk. Noor sees the pretty cup fall from shelf.;What will Noor do?;Noor will make the coffee using the milk in the jar.;Noor will open the fridge again, take out the oat milk, and swap out the almond milk.
Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. Zara believes that the painting is the work of a famous artist. A gallery visitor accidentally spills a glass of water near the painting. Zara does not observe the water spill.;What will Zara do?;Zara will look for more information about the famous artist.;Zara will look for more information about the emerging artist.
Carlos is a farmer in a little place, watching his corn field. He wants to give water to his plants by opening a water door connected to a river nearby. Carlos closed the water door last night. Carlos thinks the water door is closed now. A group of big birds comes to the corn field. Carlos doesn't see the big birds in his field.;What will Carlos do?;Carlos will phone his friend to ask if they can open the water door.;Carlos will phone his friend to ask if they can close the water door.
Sam is playing in his room with his toy train. Sam wants to make his toy train move fast on the track. Sam sees the train's battery light is on. Sam thinks the train's battery is full. Sam's mom calls him for lunch. Sam doesn't hear his mom calling him.;What will Sam do?;Sam will continue to play with his toy train.;Sam will look for new batteries in the drawer.
Henry is in the kitchen, getting ready for a tea party with his teddy bears. He wants to make a cup of tea for each of his teddy bears. Henry sees that the tea pot is full. He believes the tea pot is full. The phone in the kitchen starts ringing. Henry does not hear the phone ringing.;What will Henry do?;Henry will pour tea into the cups.;Henry will make more tea.
Lily is in her garden, looking at her apple tree. She wants to pick some apples to make a pie. Lily sees that the apples on the tree are big and red. Lily thinks the apples are ripe and ready to be picked. A cat runs across the garden. Lily doesn't see the cat running.;What will Lily do?;Lily will pick the apples from the tree.;Lily will pick the apples from the ground.
Fred is in his backyard with his dog, Spot. Fred wants to play a game of fetch with Spot. He sees his red ball is clean and ready to play with. Fred believes the red ball is clean. A squirrel runs across the yard. Fred doesn't see the squirrel.;What will Fred do?;Fred will throw the ball for Spot to fetch.;Fred will clean the ball before playing fetch.
Luke is in his room, ready to paint a picture. Luke wants to paint a bright sun with yellow paint. Luke sees that the yellow paint jar is full. Luke thinks the yellow paint jar is full. A bird flies past Luke's window. Luke doesn't see the bird flying past his window.;What will Luke do?;Luke will start painting the sun with the yellow paint.;Luke will ask his mom for more yellow paint.
Emma is in the park, ready to play with her red ball. She wants to kick the ball into the goal. Emma sees that the ball is full of air. Emma thinks the ball is full of air. A butterfly lands on a flower near Emma. Emma doesn't see the butterfly.;What will Emma do?;Emma will start kicking the ball into the goal.;Emma will ask her dad for a new ball.
Rita is in her room, playing with her favorite doll. She wants to dress up her doll for a pretend tea party. Rita sees that the doll's dress is clean and pretty. She believes the doll's dress is clean and ready to be worn. A bird flies by the window. Rita does not see the bird.;What will Rita do?;Rita will put the dress on the doll.;Rita will clean the doll's dress.
