Noor is making coffee at a busy shop. Noor wants to make a yummy coffee with oat milk for a person. Noor picks a milk jar and puts oat milk in it. A work friend, who didn't hear what the person wanted, changes the oat milk in the jar with almond milk while Noor is doing something else. Noor makes the coffee with the milk in the jar.;Does Noor think the milk jar has oat milk or almond milk?;Noor thinks the milk jar has oat milk.;Noor thinks the milk jar has almond milk.
Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. A gallery staff member, realizing there was a mix-up, changes the label with the correct information attributing the painting to an emerging artist instead. Zara looks for more information about the famous artist.;Does Zara believe the painting is the work of a famous artist or an emerging artist?;Zara believes the painting is the work of a famous artist.;Zara believes the painting is the work of an emerging artist.
Carlos is a farmer in a little place, watching his corn field. He wants to give water to his plants by opening a water door connected to a river nearby. Carlos closed the water door last night. At night, a big rain makes the river too full, opens the water door and puts too much water in the corn field. Carlos phones his friend to ask if they can open the water door.;Does Carlos think the water door is closed or open?;Carlos thinks the water door is still closed.;Carlos thinks the water door is already open.
Kofi catches fish in a little place in Ghana. He wants to catch lots of fish today for his family and to sell some. Kofi fixed his fish net last night. When Kofi is not near his boat, some monkeys come and play with the fish net, breaking it. Kofi goes to catch fish with his net.;Does Kofi think his net is good or broken?;Kofi thinks his fish net is good.;Kofi thinks his fish net is broken.
Ravi is a farmer in a small place in India, looking after his mango trees. Ravi wants to pick ripe mangoes to sell them. He sees a mango tree with a big branch full of ripe mangoes. A naughty monkey comes and eats all the ripe mangoes from the branch while Ravi is getting his picking tools. Ravi gets ready to pick ripe mangoes from the branch.;Does Ravi think the branch has ripe mangoes or no ripe mangoes?;Ravi thinks the branch has ripe mangoes.;Ravi thinks the branch has no ripe mangoes.
Hana is a little girl who lives in a house with a big garden. Hana wants to play with her bouncy ball in the garden. She sees her bouncy ball in the corner, shiny and round. A gust of wind comes and blows the bouncy ball into a muddy puddle, making it dirty. Hana goes to the corner to pick up her bouncy ball.;Does Hana believe her bouncy ball is clean or dirty?;Hana believes her bouncy ball is clean.;Hana believes her bouncy ball is dirty.
Ina is a little girl who loves playing in her backyard. She wants to play with her red ball. Ina sees her ball in the backyard, clean and shiny. Suddenly, a big dog from the neighborhood runs into the backyard and gets the ball all dirty with mud. Ina runs to the backyard to play with her ball.;Does Ina think her ball is clean or dirty?;Ina believes her ball is clean.;Ina believes her ball is dirty.
Zara is a little girl who loves drawing. Zara wants to draw a big, beautiful tree. She sees her box of colored pencils, sharp and ready to use. Suddenly, her little brother comes and takes the box to the other room, leaving the pencils scattered and dull. Zara gets ready to draw with her colored pencils.;Does Zara believe her colored pencils are sharp or dull?;Zara believes her colored pencils are sharp.;Zara believes her colored pencils are dull.
Xavier is in his garden, looking at his big apple tree. He wants to pick the ripe apples from the tree. The apples look red and ready to eat. Suddenly, a strong wind blows and shakes the tree, causing the apples to fall and get bruised. Xavier plans to pick the ripe apples from the tree.;Does Xavier believe the apples are ripe and ready to eat or bruised?;Xavier believes the apples are ripe and ready to eat.;Xavier believes the apples are bruised.
Vicky is a small girl in a big house. She wants to draw a picture with her blue crayon. Vicky sees her crayon box on the table, full of crayons. Suddenly, her little brother takes the blue crayon and runs away with it. Vicky walks to the table to get her blue crayon.;Does Vicky think her blue crayon is in the box or with her brother?;Vicky believes her blue crayon is still in the box.;Vicky believes her blue crayon is with her brother.
Emma is a little girl who loves to paint. Emma wants to paint a big, pretty picture for her mom. Emma sees her paint box with all the colors. But while Emma is not looking, her little brother Eddie takes the blue paint to color his toy car. Emma starts to paint her picture.;Does Emma believe her paint box has blue paint or no blue paint?;Emma believes her paint box has blue paint.;Emma believes her paint box has no blue paint.
Tanya is playing in her room with her teddy bear. Tanya wants to have a tea party with her teddy bear. She sees her toy teapot and it is full of pretend tea. Suddenly, her baby brother comes into the room and turns the toy teapot upside down, spilling all the pretend tea. Tanya pours pretend tea into cups for her and teddy.;Does Tanya think the toy teapot is full of pretend tea or empty?;Tanya thinks the toy teapot is full of pretend tea.;Tanya thinks the toy teapot is empty.
Xander is a young boy who loves to read books. Xander wants to read his favorite book about dinosaurs. He sees his book on the table, new and untouched. Suddenly, his little sister spills juice on the book, making the pages wet and sticky. Xander is ready to sit and read his book.;Does Xander believe his book is untouched or wet and sticky?;Xander believes his book is untouched.;Xander believes his book is wet and sticky.
Xander is in a park on a sunny day. Xander wants to fly his red kite high in the sky. He sees his kite lying flat on the grass. Suddenly, a playful dog runs over the kite, tearing a hole in it. Xander picks up his kite and starts to run to make it fly.;Does Xander believe his kite is ready to fly or is broken?;Xander believes his kite is ready to fly.;Xander believes his kite is broken.
Walter is a young boy who likes to play with his toy truck. He wants to race his toy truck down the big hill in his backyard. Walter sees his toy truck sitting clean and ready. But while Walter is inside getting a snack, a dog comes and buries the toy truck in the mud. Walter takes his toy truck to the top of the hill to start the race.;Does Walter believe his toy truck is clean or muddy?;Walter believes his toy truck is clean.;Walter believes his toy truck is muddy.
Lila is in her playroom, surrounded by her toys. She wants to build a tall tower with her colorful blocks. The blocks are all neatly stacked in their box. Suddenly, her little brother comes in and knocks over the box, scattering the blocks all over the floor. Lila plans to start building her tower with the blocks.;Does Lila believe the blocks are neatly stacked in the box or scattered on the floor?;Lila believes the blocks are neatly stacked in the box.;Lila believes the blocks are scattered on the floor.
Toby is at the beach, building a big sandcastle. Toby wants to finish his sandcastle before the sun sets. The sandcastle has tall towers and strong walls. Suddenly, a big wave crashes on the shore and washes away his sandcastle. Toby plans to add a flag on top of his sandcastle.;Does Toby believe his sandcastle is nearly done or washed away?;Toby believes his sandcastle is nearly done.;Toby believes his sandcastle is washed away.
